,path,value
307,./dimensions/0/topics/0/indicators/2/sourceVersion,3
308,./dimensions/0/topics/0/indicators/2/weight,3
309,./dimensions/0/topics/0/indicators/2/value,100.0
310,./dimensions/0/topics/0/indicators/2/minValue,0
311,./dimensions/0/topics/0/indicators/2/maxValue,100
312,./dimensions/0/topics/0/indicators/2/level,7
313,./dimensions/0/topics/0/indicators/2/transfValue,100.0
314,./dimensions/0/topics/0/indicators/2/valueExists,1
315,./dimensions/0/topics/0/indicators/2/digits,2
316,./dimensions/0/topics/0/indicators/2/outlier,False
317,./dimensions/0/topics/1/code,t206
318,./dimensions/0/topics/1/level,7
319,./dimensions/0/topics/1/score,99.99
320,./dimensions/0/topics/1/weight,4
321,./dimensions/0/topics/1/position,0
322,./dimensions/0/topics/1/indicators/0/code,i3027
323,./dimensions/0/topics/1/indicators/0/sourceVersion,3
324,./dimensions/0/topics/1/indicators/0/weight,3
325,./dimensions/0/topics/1/indicators/0/value,99.99
326,./dimensions/0/topics/1/indicators/0/minValue,0
327,./dimensions/0/topics/1/indicators/0/maxValue,100
328,./dimensions/0/topics/1/indicators/0/level,7
329,./dimensions/0/topics/1/indicators/0/transfValue,99.99
330,./dimensions/0/topics/1/indicators/0/valueExists,1
331,./dimensions/0/topics/1/indicators/0/digits,2
332,./dimensions/0/topics/1/indicators/0/outlier,False
333,./dimensions/0/topics/1/indicators/1/code,i3122
334,./dimensions/0/topics/1/indicators/1/sourceVersion,3
335,./dimensions/0/topics/1/indicators/1/weight,1
336,./dimensions/0/topics/1/indicators/1/value,True
337,./dimensions/0/topics/1/indicators/1/minValue,False
338,./dimensions/0/topics/1/indicators/1/maxValue,True
339,./dimensions/0/topics/1/indicators/1/level,7
340,./dimensions/0/topics/1/indicators/1/transfValue,100
341,./dimensions/0/topics/1/indicators/1/valueExists,1
342,./dimensions/0/topics/2/code,t203
343,./dimensions/0/topics/2/level,4
344,./dimensions/0/topics/2/score,56.79
345,./dimensions/0/topics/2/weight,9
346,./dimensions/0/topics/2/position,0
347,./dimensions/0/topics/2/indicators/0/code,i3020
348,./dimensions/0/topics/2/indicators/0/sourceVersion,3
349,./dimensions/0/topics/2/indicators/0/weight,3
350,./dimensions/0/topics/2/indicators/0/value,0.07
351,./dimensions/0/topics/2/indicators/0/minValue,100
352,./dimensions/0/topics/2/indicators/0/maxValue,0
353,./dimensions/0/topics/2/indicators/0/level,7
354,./dimensions/0/topics/2/indicators/0/transfValue,99.93
355,./dimensions/0/topics/2/indicators/0/valueExists,1
356,./dimensions/0/topics/2/indicators/0/digits,2
357,./dimensions/0/topics/2/indicators/0/outlier,False
358,./dimensions/0/topics/2/indicators/1/code,i4045
359,./dimensions/0/topics/2/indicators/1/sourceVersion,3
360,./dimensions/0/topics/2/indicators/1/weight,3
361,./dimensions/0/topics/2/indicators/1/value,3
362,./dimensions/0/topics/2/indicators/1/minValue,4
363,./dimensions/0/topics/2/indicators/1/maxValue,0
364,./dimensions/0/topics/2/indicators/1/level,1
365,./dimensions/0/topics/2/indicators/1/transfValue,25.0
366,./dimensions/0/topics/2/indicators/1/valueExists,1
367,./dimensions/0/topics/2/indicators/1/digits,0
368,./dimensions/0/topics/2/indicators/1/outlier,False
369,./dimensions/0/topics/2/indicators/2/code,i4041
370,./dimensions/0/topics/2/indicators/2/sourceVersion,3
371,./dimensions/0/topics/2/indicators/2/weight,3
372,./dimensions/0/topics/2/indicators/2/value,5
373,./dimensions/0/topics/2/indicators/2/minValue,0
374,./dimensions/0/topics/2/indicators/2/maxValue,11
375,./dimensions/0/topics/2/indicators/2/level,4
376,./dimensions/0/topics/2/indicators/2/transfValue,45.45
377,./dimensions/0/topics/2/indicators/2/valueExists,1
378,./dimensions/0/topics/2/indicators/2/digits,0
379,./dimensions/0/topics/2/indicators/2/outlier,False
380,./dimensions/0/topics/3/code,t209
381,./dimensions/0/topics/3/level,3
382,./dimensions/0/topics/3/score,34.24
383,./dimensions/0/topics/3/weight,10
384,./dimensions/0/topics/3/position,0
385,./dimensions/0/topics/3/indicators/0/code,i3124
386,./dimensions/0/topics/3/indicators/0/sourceVersion,3
387,./dimensions/0/topics/3/indicators/0/weight,2
388,./dimensions/0/topics/3/indicators/0/value,7
389,./dimensions/0/topics/3/indicators/0/minValue,0
390,./dimensions/0/topics/3/indicators/0/maxValue,17
391,./dimensions/0/topics/3/indicators/0/level,3
392,./dimensions/0/topics/3/indicators/0/transfValue,41.18
393,./dimensions/0/topics/3/indicators/0/valueExists,1
394,./dimensions/0/topics/3/indicators/0/digits,0
395,./dimensions/0/topics/3/indicators/0/outlier,False
396,./dimensions/0/topics/3/indicators/1/code,i3049
397,./dimensions/0/topics/3/indicators/1/sourceVersion,3
398,./dimensions/0/topics/3/indicators/1/weight,1
399,./dimensions/0/topics/3/indicators/1/value,
400,./dimensions/0/topics/3/indicators/1/minValue,0
401,./dimensions/0/topics/3/indicators/1/maxValue,5
402,./dimensions/0/topics/3/indicators/1/level,2
403,./dimensions/0/topics/3/indicators/1/transfValue,0.0
404,./dimensions/0/topics/3/indicators/1/valueExists,0
405,./dimensions/0/topics/3/indicators/1/digits,0
406,./dimensions/0/topics/3/indicators/1/outlier,False
407,./dimensions/0/topics/3/indicators/2/code,i3076
408,./dimensions/0/topics/3/indicators/2/sourceVersion,3
409,./dimensions/0/topics/3/indicators/2/weight,1
410,./dimensions/0/topics/3/indicators/2/value,
