NO_MUNICIPIO;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha. Fumo. Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Outros. ignorados;Total
MT-CASTANHEIRA;0;1699.6649999997;1296.0300000003;0;0;0;2345.3818181819;0;0;0;0;0;2661.1457031248;0;1315.0600000005;1694.5766824644;3220.2611764704;3814.6249999998;1693.9052631581;1611.8561538461;2296.4357894738;1172.3949999999;1911.0635294114;3957.8116763004;2625.9641723355;0;2624.7818139962
MT-CHAPADA DOS GUIMARAES;0;1251.0533333334;1408.2333333331;0;0;0;0;0;0;1498.5366666665;1663.9100000002;0;2249.1290378008;7173.6451785702;1178.8866666667;2019.3193365696;959.0524999999;11190.7913333339;2260.9125628139;2060.5474074074;2113.9955606937;1312.4935714285;1581.1035714286;5108.2626349891;2799.6032446809;0;2874.4730448891
MT-CLAUDIA;0;0;1500;1466.6199999992;0;0;2031.2024999999;1910.8612500004;0;924.8150000004;0;0;2317.6800000001;14668.1596428568;1800.7222580647;2156.8172966507;3404.6562068966;8755.8042857148;1901.2700892858;2288.6083464565;1836.9016470589;1759.3756521739;1132.2574999994;4243.5473666665;2441.497204301;0;2817.4407114449
MT-COCALINHO;4748.4919323669;1196.1633333334;0;0;0;0;0;0;0;0;0;0;1058.3733333335;0;1894.3499999998;1387.6474825175;1862.1300000008;7063.5733333317;2028.6613333333;4391.7194117644;1505.9333333333;1228.3499999999;0;3441.5280976863;2454.0355198019;0;2875.0325499697
MT-COLIDER;1525.46;2097.928255814;1856.1514999999;1320.0720000001;1484.3600000003;1736.2557142853;1700.3146666666;1479.6485714287;3021.9812393164;1513.0149999997;1132.2466666667;0;2771.9198264642;10123.1279710148;2494.9106349206;2195.6869356436;2755.1675520833;25091.10553957;2004.7506783919;2461.0144796382;1560.7888628763;1750.085;1605.9605376345;3689.9650107527;2465.9906549519;0;3419.2428035292
MT-COLNIZA;2485.7595454547;2158.0987499997;1227.1007142857;0;0;1476.9814285716;1789.8934224598;1881.8166666664;0;0;0;0;1595.2818367347;1645.2848148147;2006.5146666667;1890.3864658169;1801.6273611112;9527.9267796608;1392.3312711864;2132.0347368421;1658.3724137933;1366.4792857143;1504.7599999998;3447.7566508313;2605.7021305183;0;2479.0776303855
MT-COMODORO;1090.8000000008;1664.1074999999;2010.4062500001;0;0;0;1884.8104000002;589.8399999999;1773.829285714;4278.895223881;0;0;2374.106764706;2828.6356140349;1132.0223015872;1932.9055661502;6365.2775268823;14674.0490909116;1783.1189427312;2843.1895726495;3813.4308314602;1883.9623287672;2412.2264705882;4915.1094452151;2765.4893437733;0;3160.1658305758
MT-CONFRESA;3240.2083333335;1822.857916667;1622.1392307694;2199.6784210527;1841.593076923;1533.2077777777;147.7766666667;1279.1063333335;2185.1344444448;5437.3984313726;0;0;2883.2545121952;2215.5123809525;3750.7284161493;2233.9182352941;4413.2434806629;17317.1187499994;3534.4557347668;2004.1083730159;1346.3213074205;2288.4488983051;1571.0498245615;3750.6902349335;3104.4642745099;21816;3071.4806314511
MT-CONQUISTA D OESTE;0;1800;0;0;0;0;0;0;0;0;0;0;1844.5781249998;3414625;0;1537.301958042;0;11112.0080000054;1190.9044444445;1023.1549999998;1217.4895238095;1257.7228571432;0;4340.9688288287;2916.1204999999;0;3092.647552335
MT-COTRIGUACU;0;1640.4633333335;375;0;0;3689.5814285709;2447.3253874539;0;0;0;0;0;2122.6642857138;0;1315.5091304347;1802.1157564575;1756.1557500002;7069.394324324;2820.7924050633;1678.0279411764;1668.9806666664;1515.6450000001;1257.6859999999;3835.6209438777;1892.3219724771;0;2678.7762736842
MT-CUIABA;4030.5254495913;2827.7746440025;2212.103922991;2962.3593010753;2365.7144408252;3808.4755629135;2215.8976083707;1749.3293543759;2360.4311252269;2623.6596954316;1737.3187027027;0;2724.5966714907;5165.2379350706;2399.1079716723;2663.5502835212;3743.0393101957;15881.3818887018;2579.5501349676;2546.8282303094;2247.5614785127;2080.0606199403;5113.1449742793;9540.5581964733;5673.5464729595;4571.9366666659;4898.2000340172
MT-CURVELANDIA;2521.9949999992;1181.3766666669;2000;0;0;0;1627.7799999993;0;0;0;0;0;2292.2587499999;0;1044.3877272729;1108.9510937499;1420.9740000002;4397.6966666644;1455.9109677419;5606.5396874999;868.855;0;1300;3624.3043502826;2467.9214084507;25528.3399999905;2689.3231028037
MT-DENISE;1613.0483333329;1684.7753333332;1304.0322222221;2219.8049999997;0;0;0;0;0;0;0;0;0;0;974.5920833335;2473.6699264703;0;5193.6280000001;1592.6950000003;782.4205882353;1932.8070270272;0;1101.9366666665;4779.3457142856;2874.2448473282;0;2999.2866544117
MT-DIAMANTINO;1923.2287499999;2632.4700000001;1624.7069999999;1573.5739999998;0;0;1437.167;0;0;0;1615.3238461539;0;3141.8664945879;3359.8197297295;1638.203125;2301.0524545453;4851.6644496488;15746.8674999988;2382.2766379311;2835.235039578;1591.4226132405;1896.9397196262;2352.997090909;9452.6421505369;3467.5167506775;0;3343.4067930367
MT-DOM AQUINO;1063.8699999992;1956.5551515154;0;0;0;0;0;0;0;0;0;0;2143.1495973155;0;1562.5;2000.0536363637;1585.7999999998;6967.3152173896;2029.5911200001;1166.8439999998;2123.9904347826;1876.494375;1411.6313333334;3847.8402033897;2728.2434764544;0;2751.6760721063
MT-FELIZ NATAL;0;0;0;0;0;0;2520.3768314607;0;0;3111.6499999994;1682.8499999996;0;1228.835;0;1874.0125806452;2170.0455012853;5463.2798979593;12921.6864516153;3126.7012068963;2773.8000689654;1619.4065217393;3824.4172727278;2125.9651851852;3449.4834592446;2692.1513307984;0;2942.1434594595
MT-FIGUEIROPOLIS D OESTE;0;0;0;1993.3300000001;0;0;1288.5385714288;0;0;0;0;0;2148.5061111111;0;1378.5425;1468.6419354838;3526.5449999999;3677.5636363646;2192.9888888887;4621.9099999964;1129.4616666666;1212;0;3459.0943269231;2485.5825773195;0;2696.6610954063
MT-GAUCHA DO NORTE;0;1642.8716666664;1840.4904347823;0;0;0;2289.404117647;0;0;0;0;0;1417.0142857145;0;2006.2142857143;2091.346394052;6519.8125352122;12310.9659999964;2190.1409523808;2486.0634782607;2999.5157142856;1511.8950000002;1666.0340000004;3484.7172747254;2847.9225199362;0;3307.9942199917
MT-GENERAL CARNEIRO;0;0;0;0;0;0;0;0;0;0;0;0;2973.147499999;0;1212;1656.72075;1375.8600000003;1809.5850000009;1372.4199999999;2504.5633333332;1307.9684375;1212;2004.6180000005;2631.7413461539;3413.4976861167;0;2934.8903909952
MT-GLORIA D OESTE;979.9155555558;0;0;0;0;0;0;0;0;0;0;0;1212;0;1153.4450000003;1460.0597916665;0;4790.6700000018;1280.6033333333;3269.6999999993;1244.5800000001;1245.6699999999;0;3486.0128965518;2118.5024999998;0;2533.077202216
MT-GUARANTA DO NORTE;4225.29372093;2170.592421875;2416.2346363636;1615.7660869567;1287.363333333;2086.5355555559;1515.543405797;1457;1802.154210526;5565.6228571429;1807.7755555556;0;2251.939744898;4265.221842105;2555.0087741935;2004.1539593596;2622.1183410139;9965.6543010767;2048.497637699;2333.1803643725;1510.8133755274;1970.8958620691;1914.3110975609;4985.6262362638;2061.4065775401;0;2680.4593743761
MT-GUIRATINGA;2628.5403174603;1232.4275000002;1169.4785714289;0;0;0;0;1658.7733333334;0;0;0;0;1298.3766666667;0;9311.253333333;1853.1578391959;1647.7068181819;17376.9855000034;1806.6592452828;1988.2865999998;1463.0554385965;2098.4606896553;1350.7683333332;3517.7122095672;2715.2921079691;0;2866.6332015811
MT-INDIAVAI;0;0;0;0;0;0;0;0;0;0;0;0;1212;0;0;1317.6881395348;0;2853.8149999998;151.5;2281.165;819.2233333333;0;0;3302.3360209425;2444.7778947369;0;2664.4336410257
MT-IPIRANGA DO NORTE;0;2754.5599999997;303;1204.440909091;0;0;3121.3895652174;0;0;4243.5233333328;3804.6652727272;0;2017.005882353;6252.6150000012;7173.0392307705;2053.3596499999;4112.826374269;5580.5145833333;5518.9429629632;2902.7837333332;1834.7672131148;1677.8987499999;1704.8666666672;5157.1593172691;3434.085399872;0;3563.7747288923
MT-ITANHANGA;2313.120000001;0;1797.823;0;0;0;2152.3466153845;0;0;0;0;0;1259.1300000008;0;12160.5286956532;1743.2258189655;2880.412631579;5997.9273684207;1899.5105882351;2349.2144615384;1721.2405882352;1591.5171428568;1569.3799999999;3283.3566778523;2462.847826087;0;2846.0525731497
MT-ITAUBA;0;1647.331666667;0;0;0;0;1927.9697340425;0;0;3641.6649999991;0;0;2992.224465409;0;1345.6608333336;2148.5390109889;0;11422.6758823539;1777.7114754099;2587.7379710146;1562.6179661016;3517.3732258066;0;4684.3147619048;3351.7981663839;7268.9233333338;3133.8855309736
MT-ITIQUIRA;2656.754;1363.7089999998;1706;0;0;0;0;0;0;0;0;0;871.8864999999;8947.3261290322;728.83375;1941.3993869733;4627.7154347826;12169.7348148153;3054.2662244896;2549.9115384618;1434.2478125;1138.4240000002;1048.5319999998;3646.7752848101;3202.3658573784;0;3269.6957897299
MT-JACIARA;1420.835;1815.5949999998;2821.5397619046;0;2453.1799999997;0;1754.9216964286;0;1362.3499999996;841.714680851;2630.7766666667;0;1642.5776138828;4159.6029999991;2903.1986363638;2066.90544754;2771.8599156116;16522.4175555534;2125.9682110091;3663.4479958534;1661.3887193461;2079.5149999999;2351.0146666665;5060.630373444;3365.1296219932;0;3050.4648933585
MT-JANGADA;2387.095;0;0;0;0;0;0;0;4068.0196969694;1580.4100000002;0;0;2772.7320000008;2880.2074999996;855.7800000003;1844.6336526947;1270.816;16802.3218181838;3160.4780000001;2110.7160869567;1575.7022222221;1331.2424999999;0;2457.1706133334;1846.304299517;0;2359.2393035909
MT-JAURU;0;0;0;0;0;0;0;0;0;0;0;0;1370.0007692308;7579.6349999999;1802.4154545453;1645.4053386454;0;14212.3200000008;1962.0030434782;1143.7326470588;1320.0350877194;1630.2228571431;427.2033333334;4142.2101876676;2387.7745454545;0;3090.5963963964
MT-JUARA;2531.4015789476;1740.3415625;1357.5946875;1780.6005263159;0;2105.80025;2257.6694352161;1765.491428571;1213.3300000001;0;1608.9391666668;0;988.459122807;2127.0692553192;1581.4706451614;2033.7876040609;4508.0327902623;13292.9223076926;2317.8855012852;1766.767;1871.2997814208;1707.7493959732;1640.2521153844;3450.2922515212;3325.0618479809;14192.8800000027;2960.4378637966
MT-JUINA;1447.3633333332;1987.5614583333;2211.5475;3037.9369696968;1344.4199999999;2738.339;2291.09;1489.5147058825;1384.8600000003;1875.8799999994;1080.5263999999;0;1880.0242366412;3742.4164583331;3174.6717045454;2271.6379314721;2861.55;22530.5355696234;2771.4019789843;2484.6015203426;1512.9857480315;2189.5177233429;2066.6219869706;3776.6936827458;2612.4845480769;17639.237499997;3224.4249113364
MT-JURUENA;0;1710.4529999998;1414.155;2058.8544444444;0;0;2385.9184105961;1306.7799999993;848.4000000004;0;0;0;2629.909032258;12497;1357.8851282052;1899.6035560859;2040.5533333336;8349.8752941177;1627.6496666667;2518.6144999999;1542.2706896551;1386.1747619048;775.4899999999;3778.278;2660.70905;0;2630.9394810187
MT-JUSCIMEIRA;0;2232.8883333327;1541.6699999999;595.8333333333;0;0;1353.4399999995;0;0;2892.7727272724;1596.968;0;2840.0288372092;4590.4239999997;1250.0463636365;1639.128482143;1949.2862499999;7899.3939285717;2329.5678571425;2654.3249999998;1482.9843434343;9618.1829729716;0;4047.8438131313;2871.0598008535;0;3083.7884098737
MT-LAMBARI D OESTE;0;0;0;0;0;0;1161.5;0;0;2567.8365949821;0;0;1157.1699999999;0;1277.46;2006.5416831683;0;4365.1827272725;1262.6095000001;1688.5868421053;1072.5500000001;1386.9849999994;1340.7275;3785.3616289595;2515.920994695;0;2653.3812061712
MT-LUCAS DO RIO VERDE;4581495;2984.1454341736;2269.1701315789;2601.5881395348;3251.8096969698;2169.7687999999;2639.1001714286;2060.0970833336;2026.3075438599;11292.5469208217;2966.816923077;0;2531.0882926385;2409.8882407409;3139.0913322503;2465.4420047249;5639.3389329899;20907.2921818189;2601.952735797;2832.0130082136;1807.0386288266;2285.6422865854;3101.2142882882;5763.4449974861;3617.5524156792;10597.9350000024;3572.3723927468
