NO_MUNICIPIO;Extrativa Mineral;Prod. Mineral Não Metálico;Indústria Metalúrgica;Indústria Mecânica;Elétrico e Comunic;Material de Transporte;Madeira e Mobiliário;Papel e Gráf;Borracha. Fumo. Couros;Indústria Química;Indústria Têxtil;Indústria Calçados;Alimentos e Bebidas;Serviço Utilidade Pública;Construção Civil;Comércio Varejista;Comércio Atacadista;Instituição Financeira;Adm Técnica Profissional;Transporte e Comunicações;Aloj Comunic;Médicos Odontológicos Vet;Ensino;Administração Pública;Agricultura;Outros. ignorados;Total
MG-VIEIRAS;0;1106.2460000001;0;0;0;0;1353.1345454548;0;0;0;0;0;450.8214285714;1383.9099999998;0;1271.0939215687;0;3626.5079999998;1212;1744.6199999992;0;1050.0500000003;0;2364.2240959409;1117.2128333333;0;1946.4729039812
MG-MATHIAS LOBATO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1470.9153846154;3024.9600000009;6887.120000001;5545.3477995108;2300.6433333334;1263.2788888889;0;0;1743.9735555557;1448.4262711865;0;3643.4776463414
MG-VIRGEM DA LAPA;0;1496.4447826086;1318.0399999991;0;0;0;0;0;0;0;1119.0050000001;0;1361.9800000005;0;1133.93;1559.304827586;1354.6500000004;20701.6349999979;798.9529355608;1708.6083783784;1423.3951515151;1263.6233333337;1804.3346153846;2311.1028985507;3165.8937499996;3099.5500000008;1488.2606423173
MG-VIRGINIA;0;1272.0696874999;1212;0;0;0;0;0;1564.1400000006;0;1236.0168518518;0;1459.1605555555;0;1802.5987499997;1669.2655172415;1400.3700000001;31452.4166666685;1464.1441666667;1874.2117391305;1815.3235304348;1794.0092857143;2094.8560000002;2649.2153888888;1331.9617592593;2713.7800000012;1995.4492905867
MG-VIRGINOPOLIS;0;1312.2574999998;1639.9296153843;0;0;0;2377.0799999982;1323.3233333329;1530.4260000002;0;0;0;1480.6493749999;0;1374.1519444445;1521.586344086;2280.5868000001;7998.2665000003;1531.2291176472;2440.2603571426;1434.9895384615;2240.2925581394;1337.9065;2249.1335978836;1314.6021666667;0;1906.3007737512
MG-VIRGOLANDIA;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;3129.1768085107;1500;5807.5200000014;1175.7249999999;3611.5599999987;1247.6641666666;1624.1400000006;0;2002.8894475138;1344.7050000001;0;2119.7326008969
MG-VISCONDE DO RIO BRANCO;1524.3714285716;1481.5854198473;1742.7384507042;1655.386909091;2248.2600000016;1564.8268181818;1964.2647540984;1416.6414814814;1612.7920000002;2640.8443999999;1273.1103478261;0;2127.2936888777;0;1852.2083589744;1642.3147393649;2278.6384246575;19241.5652941189;2389.4544862517;2171.3103494624;1546.5034235976;2139.7711242603;1651.1942910447;2881.993676815;1333.3813265306;0;2182.5498921942
MG-VOLTA GRANDE;0;0;0;0;0;0;0;2319.5011111112;0;0;0;0;1140.0366666665;0;1232.4212499999;1302.832162162;2345.3100000005;20743.352985078;1359.0255263157;1659.6554929577;1318.4785950414;1462.6699999995;0;2215.0807883817;1701.2673134327;0;3095.977186235
MG-WENCESLAU BRAZ;2443.540000001;0;1284.6500000004;0;0;0;1631.4194285715;0;1080.6899999999;0;0;0;1706.3426923077;0;1397.8145454549;1175.94875;1245.6699999999;0;1226.8150000004;2084.8049999997;1169.9100000002;0;0;2800.9817164181;1091.3963333334;0;2031.8792698414
ES-AFONSO CLAUDIO;2194.5377272727;2035.5870454546;1698.5419999998;0;0;1212;1840.1046428572;1339.6633333334;0;1880.5555000001;1261.3478571427;0;1728.3168926553;7741.6393333323;2274.5799280576;1614.4772435232;1781.612972973;15979.6913888938;1135.7620979021;2628.5605932204;1624.5477859779;1971.5866451613;1262.4265625;2637.4846627132;1433.4575572519;0;2170.111637826
ES-AGUIA BRANCA;2628.5242500001;2699.7671764706;1590.7750000004;1467.2050000004;1245.6699999999;0;0;0;0;0;1225.7864285713;0;1152.747;14717.5299999937;4356.9280000001;1550.0113100437;2109.2344186049;5504.0357142855;1695.1253191488;1552.1996521738;1350.4696296296;2821.0775581395;723.1350000002;2416.5592575405;1570.243;0;2167.2455976676
ES-AGUA DOCE DO NORTE;1978.5235897437;2527.6176923078;0;0;0;0;1357.2249999996;0;0;0;1214.0700000003;0;0;5413.9687499986;1497.2181818182;1524.2311282051;4725.2233333339;8049.3360000007;1431.6908695653;1238.8701111111;1585.2045098038;1370.2663636365;1058.6657142857;2805.7796334011;1287.3357142857;0;2531.7451659192
ES-ALEGRE;3357.5753488375;1596.5070000002;1706.0060000002;0;0;0;951.1999999999;0;0;0;1521.3555319149;0;1295.6728846154;6474.0422222225;2519.2821311474;1583.6106108597;1323.8585714288;20405.6354717006;1488.5374966172;2385.5903124998;1528.3319471947;1770.2541463414;6512.7958600581;2602.5665346535;1483.540625;11315.0780000031;2546.8712937327
ES-ALFREDO CHAVES;1749.9309090909;1484.2779032258;1892.6400000002;2145.3807692304;0;0;1396.4732558139;0;0;1590.7200000007;1350.2999999998;0;3860.2567613644;2507.6153571431;2251.1611196912;1590.9575581395;1565.49;32042.7946575369;1853.7487225275;2753.7929263566;1459.7091129033;2432.5226086957;2301.9983333336;2311.9700933333;1547.6446012271;4983.7583333338;2610.012880096
ES-ALTO RIO NOVO;0;1250.6699999999;0;0;0;0;1144.0479999999;0;0;0;0;0;0;13150.5933333288;4846.1983333336;1509.7108108107;2014.1879999999;7733.0140000001;1443.1608333335;2267.3679999992;1241.3169230769;1422.4750000006;1834.6257142858;1932.1304600484;1534.1111764703;2125;1892.7763770249
ES-ANCHIETA;10639.8279297599;1626.1163013697;2378.9122222225;2947.3351526717;0;0;1373.7954545456;1247.4499999993;0;611.1739999998;999.0877777777;0;1875.8816842104;3185.0735347985;3279.9308352143;1838.2265797706;1425.3178571428;26634.274230766;2038.0787096775;2688.3084166666;2056.2351918466;2835.3601704543;2486.0830097089;3404.6562574688;1863.1333613445;6203.1320000008;3563.0251581259
ES-APIACA;0;1237.485882353;0;0;0;0;1245.6699999999;0;0;0;0;0;1429.998;8068.25;3341.4909999998;1777.589270073;2325.580666667;9864.2759999976;1418.9314285711;2479.550909091;1365.4420779221;838.684;1137.0250000001;2155.8674537037;1344.0126153846;0;2009.8193672456
ES-ARACRUZ;9328.0741411049;2821.3416911763;2349.6821161826;5610.1237719069;3724.701131222;5388.0395609757;2000.3345918366;10016.0870608395;4004.9394642861;10186.5073333331;1583.6554285712;0;1648.2842391304;3012.7148197343;2856.5619397486;1873.7389700659;3064.0103728815;14376.2966428565;2167.6697686928;4559.1901548235;1834.006824966;2687.7979544192;3682.5158634538;2896.2226518063;3532.4270752896;1943.9399999995;3689.0258298993
ES-ATILIO VIVACQUA;2613.5727450982;2290.431784141;1121.806666666;1593.1046428572;1875.9899999993;0;1367.7653846153;1750;0;1666.1740000006;0;1318.4593457944;2284.9861529809;4994.7359999999;2324.7007361964;1623.4631907894;2532.3140703518;9997.6361904765;2173.3343283581;2143.8426923081;1038.5761261261;2980.0359999987;873.89;2384.7993884892;2606.0363157895;0;2221.5904363974
ES-BAIXO GUANDU;3166.5134375;2065.3221739131;2093.0428070173;2171.5414285712;0;0;2070.5508823528;1120.2284615387;2313.7624096386;3077.7800000012;1561.9283098591;0;1549.519208633;7222.7941666668;2435.9179835389;1902.8401809599;1953.0917948718;11325.8607843153;2641.1118090451;1995.2757812501;1466.43396;1704.5035454545;1475.9515730337;2115.2959093936;1513.8128181819;0;2182.7591393291
ES-BARRA DE SAO FRANCISCO;4732.9849270664;2713.2849963689;1596.2119178082;557.7400000002;1228.1233333331;1344.8859999996;1812.338;1264.3385714286;0;1946.2235593221;1202.5719999999;0;1506.5190476191;11918.3830952388;2077.0544117648;1700.4711866178;2428.3486956523;17273.5400000019;1659.8060353535;2040.318240469;1437.6031512605;1783.4168401487;3233.1248627453;1809.9274356575;1494.8743661971;0;2396.0890355149
ES-BOA ESPERANCA;0;1513.1035238095;625.9349999996;0;1451.9900000002;0;1425.7041666663;1280.8399999999;0;0;1218.6083870968;0;1917.3568656718;15725.3160000026;3715.0499999989;1631.8764473684;1583.6401886793;16751.7788888877;1546.4916393441;2822.5266666661;1536.6492783504;1820.4501515152;4227.1499999999;2512.3276911317;1361.3556509696;0;2086.7567069049
ES-BOM JESUS DO NORTE;604.3150000004;0;0;0;0;1567.5;1511.2720000002;0;0;1005.04;1723.9270072993;0;1610.0049999997;5598.2420000002;2510.9872727272;1679.3587878788;2741.9357575759;4840.0049999998;1539.7833333334;3562.8778125008;1357.424516129;871.0279999999;1845.8142592594;2213.6683116883;1269.845151515;0;1986.2007590133
ES-BREJETUBA;0;1053.4291666665;1674.9279999999;0;0;0;1411.415;0;0;0;1131.1999999993;0;727.5260000002;2025.5199999996;2026.9835211266;1601.0917801047;2171.8440277779;23889.8116666677;1337.902037037;2354.7837500001;1474.5755882355;1351.88;1944.2659999996;2415.6514440434;1449.0626397515;10081.7099999934;2224.9286940837
ES-CACHOEIRO DE ITAPEMIRIM;4773.7341281138;2821.2624517495;6165.7007836988;2586.2340819423;2063.2069767442;2327.5918421053;1798.974382716;3034.3449280574;1852.3990370371;2889.8131052635;1269.33109375;1532.2791238671;4164.7856951154;3701.6211111113;2815.5339352818;2044.2190098209;2529.576978822;15825.5349126879;2002.0463397659;2166.1864929577;1785.7469430052;3191.9500849644;3151.6057708457;3284.4430244492;1833.2568443497;9071.607499999;2919.6162449965
ES-CARIACICA;3492.7748913044;2896.4200769231;3400.8344763383;2403.933801917;3829.4675806449;2127.4098369565;1914.6431013916;1595.3958823529;3684.0037606839;2727.1639009902;1623.9473706897;0;1877.945370603;3658.9601789708;2185.8825653206;2169.021784073;3201.1358931297;17881.1702614378;2102.7346808899;2602.6554231007;1755.5613302934;2241.6313243922;2753.9998900494;2815.1071283704;1664.9301256281;35110.4200000018;2592.6124891419
ES-CASTELO;2206.1392073171;2759.0238080495;1583.8725;2098.1825806451;2129.6285714292;1446.0099999999;1697.7073267327;1292.2817391304;1811.1481250002;1683.9857142855;1288.5576146788;0;2273.0957278267;7080.4296363632;2398.1421182265;1620.085350665;1905.9078767123;24995.7692405055;1704.1633855799;2193.3269975786;1499.9192838197;1850.9835593221;1826.0843048129;2151.5683731512;1543.6552525252;0;2273.9447324918
ES-COLATINA;3968.2024320828;2271.6803142857;3602.7170761422;1865.7837209299;1829.7719999999;1972.0286029411;2342.8366296296;1649.2367326733;2117.9590816327;3918.600430622;1848.9333496503;0;3217.6412138085;15092.2332682058;2749.3404497354;1992.2024653085;2572.0462564544;9152.3274437623;2136.1536586415;2396.4910428572;1803.1582600099;2266.0827186312;4764.3327038897;3040.9514915169;1660.5221584158;5853.3159999996;2824.4360157014
ES-CONCEICAO DA BARRA;0;1961.0193749998;1978.9942857144;767.8350000001;0;0;0;0;0;2732.421966292;1305.9533333331;0;1532.1299999999;12371.3317647066;1459.8304999997;1586.4459840954;1350.2300000005;11920.1720588231;2391.0626142402;3739.9487179488;1418.3165445026;1235.3814285714;1375.661;2234.1340204678;6285.6708185055;0;2858.5123161152
ES-CONCEICAO DO CASTELO;1864.5602380953;2003.1998611112;1089.1069999998;1327.8700000001;0;0;1542.3304347824;0;0;0;0;0;1323.3523913043;8043.477500001;3164.3552542371;1608.0179240506;1810.835;15431.650869571;1671.4038636363;1919.7432183907;1483.6798387097;1546.0466666667;1965.066;3225.0305538462;2013.030609756;0;2431.3746020539
ES-DIVINO DE SAO LOURENCO;0;0;0;0;0;0;1649.5906122449;0;0;0;0;0;0;3878.486666667;1501.2883333333;1551.9435593221;1129.6749999995;14013.8755555585;1228.835;2152.86;1901.2317500001;1570.7166666674;990.7599999999;2755.5667434211;1229.3634782608;0;2469.2597026023
ES-DOMINGOS MARTINS;2546.4372727275;1464.6895238096;1492.7050000001;1661.8650000001;0;0;1666.1875000001;0;2108.1071428574;1344.6699999999;935.5622222223;0;2107.9209065551;13030.174000001;1516.0952195121;2037.1990297339;2122.6172093024;14961.3748529428;2856.3986451613;1730.2823321555;1820.581623506;1661.9873770492;1441.8205263157;2954.0531985294;2009.2994497936;2541;2349.8428119559
ES-DORES DO RIO PRETO;0;1411.0841666665;0;3003.5795454542;0;0;1282.8550000001;0;0;1306.0366666666;0;0;1494.5539999999;2650.5524999993;2068.0182608694;1619.1060557769;1649.9756451614;5761.9473684195;1776.2890909091;1750.9240816328;1307.6799999997;2245.7727500001;735.4899999999;2215.603557047;1352.6934999999;15259.700000003;1936.193774574
ES-ECOPORANGA;3444.7741573032;1480.0099999998;1448.5699999994;783.8399999999;0;0;1232.1999999993;0;0;0;855.3373684211;0;1689.4888000001;6273.2426666652;1219.1761702128;1388.5374162679;1242.1657142859;18070.6757894732;1500.9386842105;1976.7246341465;1427.7136585366;1705.6991250001;1553.3368749999;2764.6949439347;1766.4190534979;0;2353.509022719
ES-FUNDAO;3392.9289473683;2061.0519999992;1848.7316666671;444.4760869565;0;0;1975.8216363638;1212;1480.1794117646;0;1511.9507142858;0;2170.0390397351;17993.9270000111;2294.8992452831;1595.8861057692;2169.9090322584;5842.9654545451;1990.0434;2753.175436893;1263.0268627452;2342.3456521739;1549.10875;2892.0145260347;1436.3102459017;0;2219.0010363016
ES-GOVERNADOR LINDENBERG;3782.3506024098;1523.5247540983;0;0;0;0;1337.6638554216;0;0;0;1216.8674999999;0;1533.6624999996;0;1875.4971428572;1613.5386776859;1832.0078723405;8599.139629628;1540.2958;1782.2181818181;1513.9763333334;1589.8309090908;1004.0000000002;2739.0833502538;1593.8431578948;0;2303.8478672566
ES-GUACUI;1018.7199999997;1739.984868421;1448.3409090914;1416.2;1053.4749999996;1385.1613636364;1570.2276923078;2134.4028571421;0;1883.8723529412;1459.6901282052;0;1514.5513592234;3686.8171428567;2372.7454216868;1553.8208593155;2671.9015723273;17623.905555559;1888.3270175438;2058.0446153846;1699.3991419142;2015.1903385417;898.4481730771;2593.5584782608;1349.4804329004;0;2004.0206485882
ES-GUARAPARI;1642.6876666668;1963.6729007633;4034.9550612248;2050.3970258621;2990.1443478263;1870;1449.594868421;1560.542888889;1684.9914285714;1956.540753012;1428.3988114753;0;1463.408655914;7059.7324271844;2449.5637178546;2516.9903580411;2096.8731772576;25827.4898623854;1756.8135246125;2205.1726814267;1570.7791719112;2289.0189327146;3109.7745023149;2960.7535272929;1517.6430575539;7869.8000000026;2558.2936217256
ES-IBATIBA;16110.7799999999;1337.1678571429;1186.4411111112;1266.0700000003;1212;0;1421.5203636364;1348.3599999999;1983.2099999998;1850.3561818181;1346.0514285713;0;1454.0950000002;4679.477500001;415.9593129771;1522.9934158416;2878.2668518521;21749.0699999984;1606.7718518518;1291.0362913909;1386.6753642384;1544.4208333334;7865.4034343438;2792.1627672955;1568.8482706768;0;2350.1769734345
ES-IBIRACU;0;2385.6749019608;2780.6627642277;2934.8391099477;2612.7328571428;4067.4134482757;1929.2800813008;1987.4744736843;2470.9416666666;0;0;0;1651.9615957447;2219.5919444444;2107.6010526315;1674.4557201646;3036.9829139071;18969.3242307702;2284.2480851064;1922.1618079096;1616.8309863947;2087.47575;1853.4604878052;2606.7010701107;1866.63;0;2370.5481253696
ES-IBITIRAMA;1605.3499999996;1303.8700000001;2416.5466666669;0;0;0;1614.0931249999;0;0;1246.4299999997;0;0;1212.6166666669;0;1424.0792523366;1403.2266257668;1394.0733333331;5527.8999999995;1626.2383333336;1991.0930434785;1675.9069444442;1108.7280000001;2232.1244444439;2736.4237193765;1411.7054545454;0;2189.0259049774
ES-ICONHA;2649.4179999995;2006.1314285712;2030.6275757576;2184.3678461539;2345.4400000013;2002.5875409835;2026.1032954547;1310.4559999999;3016.2599999989;0;1262.0466666669;0;1568.0426086955;0;2290.2055882353;1803.5104918033;2090.8382142858;17532.1966666675;1799.432631579;3956.4084734618;1602.8402409639;2249.5647761194;1269.1666666667;2329.8048237179;1482.9086666665;10482.799999997;3198.9996693642
ES-IRUPI;1726.2824999997;1581.1999999993;1464.6983333329;0;0;0;1275.31;0;0;1573.2072222221;0;0;1293.403;4194.25;1532.1036363639;1497.6413753581;3084.0005970146;11078.1549999993;1550.4112121212;1944.8321428572;1585.1205882354;1415.6737500001;0;2679.0869031143;1614.201851852;0;2218.1656932611
ES-ITAGUACU;3512.7761176471;1625.3363636363;1723.6853333334;1337.5;0;0;1273.9279999998;1179.8119999997;0;0;0;0;714.9609352517;1953.8170370371;2577.3165624996;1694.0915915119;2522.392777778;22243.3846875041;1534.5611538461;2330.2594594592;1557.8930645161;1544.017826087;1948.0825;2073.4922797927;1481.496607143;0;2237.8828139811
ES-ITAPEMIRIM;1746.4378846155;1816.20750499;1993.6334426231;2053.0249999999;0;0;1471.9155555554;0;1308.1177777776;1612.4433333334;1294.7199999997;0;2294.3410485132;5118.8496638657;1890.2595959595;1585.9944;1979.4442715233;18677.5657894782;1378.423618421;2001.359020979;1428.3170676692;2384.1465677966;1181.9907692308;3766.7310258839;1773.1228150133;15437.6599999964;2884.4599893405
ES-ITARANA;2462.1733333332;1583.7697959185;1311.8875000002;1667.75;0;1459.2112499997;0;1396.0699999994;1245.6699999999;0;0;0;1308.9244444445;4707.1484615387;2627.785725;1890.8756338028;2471.2737499997;11175.7680952388;2161.4969811324;1991.0572222223;1466.936122449;2550.6273825505;1362.6060000002;2687.6053271028;1283.7522580647;8054.0660000004;2490.7366275824
ES-IUNA;2418.5133333337;1185.7399999999;1659.7539999998;1340;0;0;1455.1550704225;1240.6199999998;1875.2200000007;1347.1300000001;1223.9499999993;0;1429.9509523808;4825.2453333336;789.7028658537;1579.7686956521;2730.8850232557;22126.5094871852;1715.8673443984;1435.1036781609;1630.8719161676;2503.7274074075;1529.4234328359;3192.4308523592;2437.231686747;7138.9766666641;2305.7938152241
ES-JAGUARE;1661.8900000006;1785.2628;1806.7448148148;1345.8599999994;0;1727.112857143;2105.378095238;0;0;1533.4522222221;1230.6763636363;0;1263.1355172412;2750.8804255321;1629.9201754386;1782.1053783045;2895.8301960785;9652.3665789465;2209.6576190475;2206.917619048;1439.7539743591;1793.2745098039;1809.2236923077;2067.354167371;1352.776179402;0;1863.3182082324
ES-JERONIMO MONTEIRO;1400;1428;1597.656969697;0;0;0;0;0;0;0;1526.2759999999;0;1352.2771428571;0;2169.3676923074;1532.2925624999;1772.2942857144;5368.8681818179;1610.9166666667;2118.7889285711;1373.2520731708;1380.6985714285;404;2479.1699392712;1702.9546938774;0;2014.5227379873
ES-JOAO NEIVA;2291.4927999998;2279.9441284405;3366.1095410627;1973.1053516819;0;0;1798.4644444447;0;1886.6320833333;1505.1366666667;1325.1799999997;0;1753.3943421052;3823.89578125;11003.0688495581;1659.7337723214;1997.1645714287;19497.1856818189;1644.0431896551;4571.4879792747;1423.1340025252;2144.291092437;2392.2493693693;2646.2362813371;1326.1257407407;0;2708.5758226254
ES-LARANJA DA TERRA;2452.6149999984;1416.2798360656;0;0;0;0;1380.5536363638;1340.7799999993;0;0;0;0;1412.7781818182;0;1837.2406249997;1440.9560444444;2611.7897058825;5805.2245454555;1567.882631579;2107.8734482759;1236.2390909091;1383.882;1558.7485714286;2546.2835236541;1344.5743589742;0;2136.9948541113
ES-LINHARES;3904.2505759164;1916.8225;2794.1031665015;2360.5091666668;3048.0674394857;1845.5324999999;1984.9891401793;1893.5448678414;1844.3868904593;2254.1233914729;1897.5852335165;0;2505.0659310851;11439.6098843935;2311.9139829192;2101.7308456684;3228.8751149229;13711.9162948965;2179.8602097315;2772.9358956464;2700.1606782494;2328.200549934;3432.1467836813;2849.9446911299;1566.7641471173;14594.1166666647;2655.4547875793
ES-MANTENOPOLIS;0;2010.0499999989;0;0;0;0;0;0;0;0;0;0;1103.2739999998;3888.7766666661;1811.5580000004;1488.7476754385;1041.8129411763;14473.2009999987;1397.34046875;1811.514117647;1538.9475609754;1918.5758823529;1339.5213636364;2804.116022514;1334.1968421053;0;2342.6084120602
ES-MARATAIZES;1491.7249999996;1953.9434090908;1496.8219999999;1295.9499999993;933.9649999999;2069.9222222223;1261.7299999997;0;0;1562.2343999998;831.6733333332;0;1467.159017094;2790.5951612904;3310.15253886;1590.79117713;758.8448725213;11406.9004000002;1698.3407171314;2197.5256466877;1176.5064717742;2749.0327903469;1469.9575757576;3271.8619959057;595.3745833333;0;2293.5857580575
ES-MARECHAL FLORIANO;0;2065.4178688526;1681.3346666668;2170.3043636365;0;0;1607.2120535716;1533.4036363636;0;1540.7249999998;1683.8667647059;1614.4806250003;1744.3046971934;9089.4357142864;1878.8939259259;1678.3039703903;2530.2716058393;15544.3690697682;2217.9888530466;2325.7013422818;1654.3184814815;888.6677777778;1485.098139535;2418.4341633728;2112.0326057298;11918.436666665;2179.1994924088
ES-MARILANDIA;3803.4450000001;1553.0029310346;1972.714285714;1345.5875000004;0;0;1607.4879452055;1298.6538461539;0;0;1493.3039893617;0;1264.0750000002;2930.0122222222;1836.9011111112;1724.8146189376;1580.9423076923;5282.6311111115;2099.6165416667;2065.7930985916;1764.75704;1608.6592857146;3026.6786363635;2236.2105734768;1374.5478189301;17063.3249999955;1881.7550769231
ES-MIMOSO DO SUL;2528.4271428572;2974.1232945738;1432.4050000003;0;0;0;1590.4627272727;1725.2499999998;0;0;0;0;2401.089680851;2782.6565909092;1911.9031707315;1639.1062467191;1724.8597752809;34520.5786666704;1571.4175342465;2105.9797802197;1525.2196621622;2177.8393081761;3744.2099999988;2264.1083854693;1634.7804897959;3181.1999999993;2331.5553011678
ES-MONTANHA;2054.5766666668;1351.7524999998;1427.0236363636;0;0;0;909.6733333332;1824.8778947367;0;0;898.0259999998;0;2790.6624338623;5848.3541176466;2984.9621428565;1747.7216376306;1745.3244202897;11177.3356521764;1628.1900689654;2162.9415789474;1240.3999130435;1749.1661344537;5223.3275206613;2266.8688746298;1445.1550917874;0;2143.5380609631
ES-MUCURICI;0;0;0;0;0;0;1202.6699999999;0;0;0;0;0;1237.6556249999;13653.543999996;812.8119999997;1734.4561111109;0;29399.2079999968;1717.9233333329;2273.7784615385;1456.8073333329;2274.1861029411;0;2132.0027436822;2054.3965644171;0;2286.6306976743
ES-MUNIZ FREIRE;2503.0816129034;0;1212;1485.3499999996;0;0;1845.6577272727;0;0;0;0;0;1594.172962963;4551.5111111117;1834.9707999997;1569.7769413919;2407.4892592593;12653.2897222236;1330.3095890411;833.6744444444;1585.835319149;2623.9048717949;1297.9261538461;3239.697334385;1450.2373786408;0;2381.1839165482
ES-MUQUI;1871.9599999996;2239.2558064517;1612.9133333334;0;0;0;1343.6600000002;1536.4499999999;0;0;0;0;1317.6200000002;6593.9214285703;2408.8639999997;1613.0287826087;3952.116363637;15394.944374998;1681.6782278482;3114.0525000004;1467.133027523;2867.1558333335;1722.2823076925;2560.5945124283;1790.2745689654;0;2391.9308588957
ES-NOVA VENECIA;3235.0467286246;2414.7438123752;1535.9426666666;2298.8525757577;1575.5999999996;0;1605.2213333333;1804.8379999999;1535.0657142858;0;1279.9518181819;0;1926.8670016751;8931.0488732394;2745.4249228395;1963.4223865958;3120.6202905568;13295.8907476624;1528.1767816092;1976.5939007093;1554.9324950495;2312.8007692307;3719.5802238808;2319.7998626244;1441.5445741325;10178.1200000048;2357.9363757862
ES-PANCAS;2944.6585000003;1363.8966666665;1572.8699999992;0;0;0;1059.260909091;0;0;0;0;0;1473.748;12899.8780000046;1820.8773809522;1484.1124691357;1430.0222222219;9924.6168000004;1467.8440170941;1588.41;1693.8913333333;1558.4785714287;1248.1962962965;2312.9844683715;1461.9191603053;0;2013.3622321929
ES-PEDRO CANARIO;0;1540.9740000002;570.7164285715;951.0709053498;0;0;1503.6500000004;1676.3100000005;0;0;0;0;1080.7360000001;13324.1992857121;1844.1100684151;1791.6555211727;1895.2107142858;5708.8128571431;1484.035754717;2263.3900766282;1271.9150000001;1720.114893617;1101.2410000001;2208.7767411546;2845.1874127556;0;2105.61319017
ES-PINHEIROS;2039.6999999993;1326.7628571427;1574.5649999995;1335.9849999994;0;0;3587.6131486879;1678.6759999998;0;2178.2950000003;1603.9666666674;1239.6699999999;1181.9083783784;8426.9322222215;2417.9173913042;2077.0527534562;2170.5733333333;13370.7917241389;1994.5588135593;2184.0171126761;1745.5318666667;1397.2156756756;1507.0356756757;2769.7353059177;1476.6229588883;3761.7100000009;2231.9693940652
ES-PIUMA;0;1439.7720000001;692.6409090908;1388.1775000002;0;0;6018.1974999984;1949.5800000001;1763.0087499998;1735.2182051283;1493.5949999997;0;1414.2419161677;10286.7771428609;2637.8959375002;1564.9468315665;2311.2794117645;21965.2060000009;1662.5677348066;2436.5809950251;1578.8987368421;1732.0418867924;6470.6193548396;2465.4406568627;1648.8809374999;5610.6866666675;2414.3954172405
ES-PONTO BELO;0;1007.0366666665;0;0;0;0;0;0;0;0;0;0;2295.8938888888;8152.7549999971;1096.4901369864;1312.156449704;0;15923.8471428648;1976.0850000001;2395.3073684208;2016.3473333336;1420.0666666664;1062.3333333333;1943.9569302325;1335.9205405405;0;1817.4685011441
ES-PRESIDENTE KENNEDY;2384.7;1772.4992307691;1393.532;0;0;0;0;0;0;631.6000000001;0;0;1396.1166666667;4719.3650000021;2273.5216463413;1608.5554166666;1487.9136507938;20067.5276190504;804.6817857143;3275.7562264155;1439.0950000001;3198.1072222235;1214.1349999998;3290.4636241611;1702.9433727811;931.7000000002;2914.4385339064
ES-RIO BANANAL;2977.5113333333;1245.6699999999;1944.966;0;2229.4001492539;0;1515.2245569622;1061.5399999991;0;7052.5232307687;1330.0679999996;0;1452.3603125;3616.8204347824;1499.6962162163;1666.8916933334;2249.0572727275;8740.2913793096;1847.3724999999;1788.1056451613;1586.7702173912;1521.6921621622;2118.8635483872;3856.7413443072;1305.0114285713;0;2483.3583961566
ES-RIO NOVO DO SUL;3035.1125000004;2393.4283216783;1433.670952381;0;0;0;1543.1933333334;1089.1049999995;0;0;1131.7400000002;0;2146.8301886792;5738.3482352934;3641.991724138;1603.2344727272;3856.5077777777;14461.1773684194;1722.3230357143;2812.1358490569;1770.6513675214;1324.1922222221;4180.6511538458;2647.04528;1483.159574468;6688.6500000022;2497.8623400576
ES-SANTA LEOPOLDINA;1655.8374999999;0;1230.5149999997;0;0;0;1547.6614285714;0;0;0;1016.8200000003;0;1327.6406666664;4941.6899999995;1365.5599999999;1550.569090909;2150.0479999999;20047.3814999979;1752.1937804877;1448.9579166666;1732.1510769232;2275.4808695652;625;2476.9076629214;1467.6636986302;8544.4900000021;2664.7173026819
ES-SANTA MARIA DE JETIBA;0;1756.665882353;1451.7907594937;2131.4190476194;1313.6806666666;2125.4134545455;1509.4077697843;1696.4452380951;1551.6739999998;2508.3858333334;1340.6866666662;0;1879.4528927681;13347.7192857154;2426.7126582278;2052.4021200828;3157.8220845921;19558.2133898288;1737.1164363636;1833.3191007193;1651.4994032922;1798.9505462185;4750.7211688314;3175.240884285;1665.7451089212;0;2467.2618146759
ES-SANTA TERESA;1852.0558333333;1487.3792105262;2491.1081818191;0;1504.7699999996;0;1784.3677777778;1657.9266666677;1587.5800000001;2860.7308695649;1473.7348837208;0;1620.3764261169;17961.4387499976;2497.9499999999;1956.560324748;2651.6861682242;15311.4879310324;1724.377105263;2061.7417275746;1588.3307303371;2727.5526914152;6243.8477842564;2218.8994573644;1644.9330416667;0;2587.9657330716
ES-SAO DOMINGOS DO NORTE;8317.0408333335;4276.6898902822;2700.6133333333;0;0;0;1618.3531818182;0;0;3331.8299999991;1334.3334615384;0;1567.3853488371;2560.1425000005;1392.7379999999;1564.4958433734;3172.2687500003;5475.8118181815;5250.5446153844;1932.5669642856;1424.2091919191;1915.6639999997;1140.9750000001;3120.6897530864;1995.1512280703;1826;3110.2737525493
