Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
AM-SAO PAULO DE OLIVENCA;1;3;1;43;57;14;446;11;294;0;0;870
AM-SAO SEBASTIAO DO UATUMA;4;9;13;11;30;13;433;7;177;1;0;698
AM-SILVES;0;1;1;0;15;1;626;17;236;0;0;897
AM-TABATINGA;13;51;54;179;202;164;3211;128;1750;35;4;5791
AM-TAPAUA;73;185;61;89;132;58;861;15;406;68;12;1960
AM-TEFE;4;21;12;25;98;83;1640;47;195;20;14;2159
AM-TONANTINS;0;2;0;6;148;3;325;1;288;0;1;774
AM-UARINI;1;1;0;0;4;3;50;1;14;0;0;74
AM-URUCARA;0;5;24;26;83;62;585;15;201;0;0;1001
AM-URUCURITUBA;0;2;78;11;32;9;734;3;404;1;0;1274
RR-AMAJARI;3;16;14;25;72;28;443;10;229;0;0;840
RR-ALTO ALEGRE;6;27;29;17;41;28;670;43;220;68;0;1149
RR-BOA VISTA;275;784;708;1779;5116;3262;52966;2616;15351;896;4056;87809
RR-BONFIM;3;17;10;43;85;74;816;25;248;0;0;1321
RR-CANTA;11;25;14;12;115;54;808;57;341;11;0;1448
RR-CARACARAI;5;16;10;30;151;51;936;16;263;0;0;1478
RR-CAROEBE;2;0;0;6;22;13;587;1;157;0;0;788
RR-IRACEMA;2;16;8;43;73;41;471;12;236;0;0;902
RR-MUCAJAI;11;22;13;37;55;37;742;18;126;1;0;1062
RR-NORMANDIA;25;2;4;5;38;21;422;20;367;0;0;904
RR-PACARAIMA;4;1;5;13;17;30;413;22;129;1;1;636
RR-RORAINOPOLIS;15;27;12;59;176;151;1628;51;653;3;0;2775
RR-SAO JOAO DA BALIZA;8;87;28;134;134;67;665;19;166;2;0;1310
RR-SAO LUIZ;2;5;3;16;37;25;280;17;78;2;0;465
RR-UIRAMUTA;2;0;0;3;16;1;195;23;44;2;0;286
PA-ABAETETUBA;44;122;43;981;753;295;7987;159;3401;12;7;13804
PA-ABEL FIGUEIREDO;9;41;11;21;65;19;418;6;110;1;0;701
PA-ACARA;76;232;110;1920;475;301;1748;40;1204;2;2;6110
PA-AFUA;25;62;73;99;242;39;643;22;716;1;0;1922
PA-AGUA AZUL DO NORTE;37;305;207;402;284;261;1135;59;286;7;0;2983
PA-ALENQUER;8;99;97;148;388;84;1405;40;771;1;0;3041
PA-ALMEIRIM;29;207;54;341;400;241;1929;112;641;0;1;3955
PA-ALTAMIRA;51;312;228;663;1797;1181;8730;882;2218;265;3;16330
PA-ANAJAS;1;1;3;138;340;48;356;3;337;0;0;1227
PA-ANANINDEUA;146;1157;820;2632;7381;4676;47049;2101;11797;273;132;78164
PA-ANAPU;24;78;48;201;307;166;1455;31;262;0;0;2572
PA-AUGUSTO CORREA;10;193;51;102;370;127;1200;31;955;8;0;3047
PA-AURORA DO PARA;8;90;36;56;208;106;627;10;455;0;0;1596
PA-AVEIRO;0;14;10;47;169;23;365;6;89;0;0;723
PA-BAGRE;3;86;29;36;125;24;315;40;200;0;0;858
PA-BAIAO;8;10;3;39;101;34;771;23;662;3;1;1655
