Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
MG-PATROCINIO DO MURIAE;0;18;77;45;120;105;419;17;126;0;0;927
MG-PAULA CANDIDO;1;15;54;53;96;43;345;5;95;0;0;707
MG-PAULISTAS;2;19;14;26;54;48;253;6;103;0;0;525
MG-PAVAO;18;67;31;51;113;44;433;25;100;0;0;882
MG-PECANHA;7;49;51;65;140;85;912;29;229;1;1;1569
MG-PEDRA AZUL;34;113;91;144;144;129;1399;36;469;2;0;2561
MG-PEDRA BONITA;0;6;20;17;39;20;95;4;77;0;0;278
MG-PEDRA DO ANTA;0;18;24;37;54;22;230;1;96;0;0;482
MG-PEDRA DO INDAIA;5;168;79;123;162;131;629;29;108;0;0;1434
MG-PEDRA DOURADA;0;7;8;33;22;20;143;13;87;7;0;340
MG-PEDRALVA;10;132;58;119;128;56;750;33;176;0;0;1462
MG-PEDRAS DE MARIA DA CRUZ;5;20;51;21;43;19;327;5;126;0;0;617
MG-PEDRINOPOLIS;0;55;69;30;67;55;322;19;102;0;0;719
MG-PEDRO LEOPOLDO;43;288;353;1049;1464;1019;9623;525;1667;54;26;16111
MG-PEDRO TEIXEIRA;11;11;42;17;26;12;159;2;52;0;1;333
MG-PEQUERI;1;21;96;70;114;39;317;23;92;0;1;774
MG-PEQUI;6;55;68;70;63;61;307;22;110;0;0;762
MG-PERDIGAO;19;170;99;384;223;433;1018;92;347;0;0;2785
MG-PERDIZES;56;511;521;559;514;478;3338;209;823;0;0;7009
MG-PERDOES;7;160;177;254;278;326;2970;148;751;3;4;5078
MG-PERIQUITO;6;26;20;45;88;38;362;9;123;0;0;717
MG-PESCADOR;8;24;31;38;34;24;238;11;51;0;0;459
MG-PIAU;1;39;78;25;27;15;157;8;78;0;0;428
MG-PIEDADE DE CARATINGA;9;33;22;25;111;44;435;10;148;0;1;838
MG-PIEDADE DE PONTE NOVA;4;24;48;30;157;27;240;43;88;1;0;662
MG-PIEDADE DO RIO GRANDE;3;40;54;64;73;48;354;9;99;0;0;744
MG-PIEDADE DOS GERAIS;0;37;5;28;54;34;241;15;104;0;0;518
MG-PIMENTA;19;183;137;121;133;133;843;61;281;2;0;1913
MG-PINGO-D AGUA;0;22;23;52;51;20;282;1;58;0;0;509
MG-PINTOPOLIS;4;8;13;36;27;88;201;9;122;0;0;508
MG-PIRACEMA;8;102;33;77;89;58;460;27;172;0;0;1026
MG-PIRAJUBA;12;93;122;118;293;524;1539;37;271;0;13;3022
MG-PIRANGA;5;36;42;67;179;65;776;25;235;1;0;1431
MG-PIRANGUCU;1;27;13;35;37;48;244;11;105;1;0;522
MG-PIRANGUINHO;1;29;36;67;82;83;648;23;125;2;1;1097
MG-PIRAPETINGA;13;39;70;118;251;141;1336;70;425;2;0;2465
MG-PIRAPORA;40;327;322;828;1142;1298;8717;325;2586;68;12;15665
MG-PIRAUBA;5;61;89;146;462;146;1191;35;266;1;0;2402
MG-PITANGUI;16;250;266;359;437;376;2729;118;644;3;9;5207
MG-PIUMHI;31;353;297;415;717;794;5021;274;1208;6;2;9118
MG-PLANURA;4;50;44;91;130;121;848;35;245;1;0;1569
MG-POCO FUNDO;13;142;132;161;165;133;905;109;390;6;1;2157
MG-POCOS DE CALDAS;52;1049;1107;2267;3601;3555;29522;2091;8243;171;36;51694
MG-POCRANE;8;25;13;32;45;46;404;23;96;0;0;692
MG-POMPEU;29;294;446;723;576;551;2985;203;652;1;0;6460
MG-PONTE NOVA;62;651;745;1551;1522;1594;8971;478;2521;104;55;18254
MG-PONTO CHIQUE;3;11;13;21;22;23;223;6;110;0;0;432
MG-PONTO DOS VOLANTES;3;23;15;80;103;61;323;10;285;0;0;903
MG-PORTEIRINHA;22;65;91;144;215;94;1943;94;748;1;0;3417
MG-PORTO FIRME;0;13;61;14;51;29;389;18;82;0;0;657
MG-POTE;11;57;42;80;61;76;578;27;237;0;1;1170
MG-POUSO ALEGRE;133;1100;884;2135;3860;3857;31434;2445;11427;717;347;58339
MG-POUSO ALTO;8;99;126;169;289;136;830;29;213;0;1;1900
MG-PRADOS;3;122;146;184;179;166;943;27;169;3;0;1942
MG-PRATA;93;369;696;515;840;639;3406;231;711;5;0;7505
MG-PRATAPOLIS;1;30;41;67;142;99;788;44;177;0;0;1389
MG-PRATINHA;4;65;47;45;46;61;260;21;65;0;0;614
MG-PRESIDENTE BERNARDES;1;20;18;30;45;28;205;33;277;0;0;657
MG-PRESIDENTE JUSCELINO;0;22;38;27;80;29;244;5;88;0;0;533
MG-PRESIDENTE KUBITSCHEK;0;22;26;36;36;16;103;7;139;0;0;385
MG-PRESIDENTE OLEGARIO;17;214;325;376;339;304;1567;127;475;4;0;3748
MG-ALTO JEQUITIBA;3;18;12;38;34;44;504;20;101;2;0;776
MG-PRUDENTE DE MORAIS;5;62;70;86;186;104;823;32;228;2;4;1602
MG-QUARTEL GERAL;1;26;15;21;53;26;180;9;73;0;0;404
MG-QUELUZITO;1;19;28;8;56;24;143;7;77;0;0;363
MG-RAPOSOS;1;55;31;28;91;60;747;52;179;0;1;1245
MG-RAUL SOARES;13;124;106;137;239;172;1503;71;460;2;0;2827
MG-RECREIO;4;47;64;61;116;62;598;25;327;0;0;1304
MG-REDUTO;9;21;33;53;84;35;415;11;120;3;1;785
MG-RESENDE COSTA;0;23;90;65;143;132;784;38;201;2;1;1479
MG-RESPLENDOR;10;115;83;198;209;186;1179;63;370;4;0;2417
MG-RESSAQUINHA;1;55;66;67;64;42;370;35;173;2;0;875
MG-RIACHINHO;3;49;28;48;84;41;380;12;131;2;0;778
MG-RIACHO DOS MACHADOS;8;74;65;127;70;69;684;25;299;1;0;1422
MG-RIBEIRAO DAS NEVES;46;522;675;1359;2155;2284;19191;874;4046;22;4;31178
MG-RIBEIRAO VERMELHO;2;13;24;26;75;54;464;14;117;2;0;791
MG-RIO ACIMA;5;54;69;97;152;156;940;53;403;7;0;1936
MG-RIO CASCA;10;104;150;117;441;144;910;37;282;0;0;2195
MG-RIO DOCE;1;33;57;77;105;32;332;12;107;0;0;756
MG-RIO DO PRADO;3;38;37;23;8;15;123;4;69;0;0;320
MG-RIO ESPERA;0;7;27;27;78;29;180;9;74;0;0;431
MG-RIO MANSO;3;32;34;33;55;40;269;9;98;0;0;573
MG-RIO NOVO;2;46;163;101;97;68;559;14;121;0;0;1171
MG-RIO PARANAIBA;73;1061;745;947;645;826;2394;178;492;6;1;7368
MG-RIO PARDO DE MINAS;5;91;129;289;157;71;857;26;501;3;0;2129
MG-RIO PIRACICABA;4;135;117;186;215;128;1632;59;370;4;1;2851
MG-RIO POMBA;6;87;102;201;607;217;1474;121;712;40;30;3597
MG-RIO PRETO;1;58;69;38;54;28;308;12;151;1;2;722
MG-RIO VERMELHO;5;16;42;21;82;46;524;22;201;0;0;959
MG-RITAPOLIS;0;55;45;50;84;40;344;13;114;2;0;747
MG-ROCHEDO DE MINAS;1;12;210;30;67;24;184;2;56;0;0;586
MG-RODEIRO;11;161;255;446;803;351;1361;173;191;90;1;3843
MG-ROMARIA;14;75;116;111;190;84;268;19;82;1;0;960
MG-ROSARIO DA LIMEIRA;0;23;79;34;74;78;339;17;112;0;0;756
MG-RUBELITA;8;32;76;52;65;27;223;5;96;0;0;584
MG-RUBIM;27;142;61;51;201;26;205;13;146;1;0;873
MG-SABARA;44;708;463;1108;1671;1474;13119;592;3640;22;9;22850
MG-SABINOPOLIS;13;102;58;107;180;131;856;28;265;2;0;1742
MG-SACRAMENTO;30;362;326;506;548;1016;4222;309;1382;13;0;8714
MG-SALINAS;40;377;190;483;534;419;3899;199;899;4;0;7044
MG-SALTO DA DIVISA;11;75;35;85;46;38;254;9;57;0;0;610
MG-SANTA BARBARA;26;253;164;341;419;490;4409;204;871;59;18;7254
MG-SANTA BARBARA DO LESTE;1;21;36;53;44;44;321;13;112;2;0;647
MG-SANTA BARBARA DO MONTE VERDE;5;46;52;21;89;18;195;6;93;0;0;525
MG-SANTA BARBARA DO TUGURIO;2;32;20;26;38;30;224;7;146;0;0;525
MG-SANTA CRUZ DE MINAS;2;24;44;70;160;123;726;25;155;2;0;1331
MG-SANTA CRUZ DE SALINAS;1;4;11;37;38;9;143;2;76;0;0;321
MG-SANTA CRUZ DO ESCALVADO;2;66;111;107;144;59;432;14;138;0;0;1073
MG-SANTA EFIGENIA DE MINAS;4;23;23;23;14;16;142;4;73;0;0;322
MG-SANTA FE DE MINAS;7;28;11;34;89;49;287;3;94;1;0;603
MG-SANTA HELENA DE MINAS;0;5;2;2;13;8;162;6;58;0;0;256
MG-SANTA JULIANA;29;200;297;533;384;468;1537;140;498;0;1;4087
MG-SANTA LUZIA;42;538;654;1503;2240;2213;17436;984;4818;448;20;30896
MG-SANTA MARGARIDA;0;11;11;117;106;66;658;49;289;0;0;1307
MG-SANTA MARIA DE ITABIRA;9;111;131;160;217;198;971;23;177;0;0;1997
MG-SANTA MARIA DO SALTO;5;14;42;49;22;26;190;7;93;0;0;448
MG-SANTA MARIA DO SUACUI;11;52;99;115;111;81;658;15;231;0;0;1373
MG-SANTANA DA VARGEM;5;67;189;113;164;103;1023;29;181;0;0;1874
MG-SANTANA DE CATAGUASES;2;8;32;23;27;27;201;2;84;0;0;406
MG-SANTANA DE PIRAPAMA;3;44;33;22;85;32;209;7;86;0;0;521
MG-SANTANA DO DESERTO;6;35;33;47;52;44;213;15;106;3;0;554
MG-SANTANA DO GARAMBEU;2;11;6;11;30;8;139;14;59;0;0;280
MG-SANTANA DO JACARE;1;21;43;32;74;45;473;9;102;1;0;801
MG-SANTANA DO MANHUACU;5;35;26;37;88;73;442;22;84;2;1;815
MG-SANTANA DO PARAISO;39;350;174;366;494;458;3356;156;622;79;1;6095
MG-SANTANA DO RIACHO;6;38;24;58;75;69;561;17;123;0;1;972
MG-SANTANA DOS MONTES;4;43;29;28;70;21;164;7;93;1;1;461
MG-SANTA RITA DE CALDAS;4;84;35;89;116;68;687;33;184;0;0;1300
MG-SANTA RITA DE JACUTINGA;2;26;42;71;67;36;300;6;194;0;0;744
MG-SANTA RITA DE MINAS;8;17;59;88;75;97;544;22;97;0;0;1007
MG-SANTA RITA DE IBITIPOCA;4;54;35;24;52;21;261;13;91;0;0;555
MG-SANTA RITA DO ITUETO;0;34;35;51;55;31;347;8;124;0;0;685
MG-SANTA RITA DO SAPUCAI;58;541;441;732;1097;969;6042;620;3086;137;48;13771
MG-SANTA ROSA DA SERRA;1;41;30;36;20;27;175;20;133;2;0;485
MG-SANTA VITORIA;19;187;244;446;349;418;2374;141;952;2;1;5133
MG-SANTO ANTONIO DO AMPARO;15;153;144;273;324;158;1683;38;375;2;0;3165
MG-SANTO ANTONIO DO AVENTUREIRO;2;19;34;30;71;33;220;24;120;0;0;553
MG-SANTO ANTONIO DO GRAMA;3;17;39;41;58;49;238;15;75;0;0;535
MG-SANTO ANTONIO DO ITAMBE;4;25;23;42;47;21;147;3;100;0;0;412
MG-SANTO ANTONIO DO JACINTO;0;41;36;38;55;12;309;1;150;0;0;642
MG-SANTO ANTONIO DO MONTE;19;435;374;732;495;657;2457;220;790;5;0;6184
MG-SANTO ANTONIO DO RETIRO;1;8;14;31;39;6;102;7;105;0;0;313
MG-SANTO ANTONIO DO RIO ABAIXO;0;5;25;9;12;8;87;3;33;0;0;182
MG-SANTO HIPOLITO;4;68;22;44;55;17;183;2;52;1;0;448
MG-SANTOS DUMONT;16;80;152;213;398;243;3818;198;1049;61;14;6242
MG-SAO BENTO ABADE;1;19;41;43;33;9;173;6;83;0;0;408
MG-SAO BRAS DO SUACUI;5;20;19;37;92;54;359;24;156;1;0;767
MG-SAO DOMINGOS DAS DORES;10;70;36;69;71;52;280;12;145;0;0;745
MG-SAO DOMINGOS DO PRATA;6;159;136;182;175;211;1339;63;375;1;1;2648
MG-SAO FELIX DE MINAS;0;21;13;32;26;29;224;9;96;0;2;452
MG-SAO FRANCISCO;9;88;110;140;339;158;2674;102;1220;1;0;4841
MG-SAO FRANCISCO DE PAULA;6;38;47;80;124;56;513;16;96;0;0;976
MG-SAO FRANCISCO DE SALES;1;130;49;98;109;58;503;20;177;0;0;1145
MG-SAO FRANCISCO DO GLORIA;0;13;17;33;28;33;288;16;126;0;1;555
MG-SAO GERALDO;12;127;215;362;318;351;889;69;238;0;2;2583
MG-SAO GERALDO DA PIEDADE;0;28;25;56;18;30;142;5;66;0;0;370
MG-SAO GERALDO DO BAIXIO;4;27;18;60;38;13;193;8;55;0;0;416
MG-SAO GONCALO DO ABAETE;18;122;86;129;85;178;779;42;178;0;0;1617
MG-SAO GONCALO DO PARA;13;105;103;210;392;233;1059;49;231;1;0;2396
MG-SAO GONCALO DO RIO ABAIXO;17;293;180;337;236;262;3617;219;1165;15;2;6343
MG-SAO GONCALO DO SAPUCAI;20;208;204;370;765;387;3231;125;688;4;2;6004
MG-SAO GOTARDO;69;436;354;610;615;712;4756;380;1255;14;12;9213
MG-SAO JOAO BATISTA DO GLORIA;6;80;107;118;178;119;760;35;173;4;4;1584
MG-SAO JOAO DA LAGOA;0;16;6;13;20;12;199;1;85;0;0;352
MG-SAO JOAO DA MATA;2;18;23;24;35;36;155;15;97;0;0;405
MG-SAO JOAO DA PONTE;17;47;80;73;192;72;1215;31;384;3;1;2115
MG-SAO JOAO DAS MISSOES;12;8;9;36;50;49;212;22;133;0;0;531
MG-SAO JOAO DEL REI;37;445;708;903;2066;1490;11791;698;3378;415;809;22740
MG-SAO JOAO DO MANHUACU;1;72;37;56;77;72;591;29;194;0;0;1129
MG-SAO JOAO DO MANTENINHA;3;34;33;82;78;106;582;18;137;0;0;1073
MG-SAO JOAO DO ORIENTE;2;16;17;54;60;38;364;10;156;3;0;720
MG-SAO JOAO DO PACUI;0;1;4;5;12;15;170;5;95;0;0;307
MG-SAO JOAO DO PARAISO;25;192;115;143;357;125;1449;23;294;0;0;2723
MG-SAO JOAO EVANGELISTA;18;81;69;70;120;88;885;46;214;38;1;1630
MG-SAO JOAO NEPOMUCENO;5;181;296;314;576;410;3096;177;427;9;0;5491
MG-SAO JOAQUIM DE BICAS;27;291;232;529;693;660;3889;207;920;10;3;7461
MG-SAO JOSE DA BARRA;5;76;87;93;104;79;736;18;228;20;6;1452
MG-SAO JOSE DA LAPA;17;170;155;291;409;408;3418;205;920;11;2;6006
MG-SAO JOSE DA SAFIRA;6;38;13;40;27;51;202;13;80;0;0;470
MG-SAO JOSE DA VARGINHA;7;101;69;107;113;68;359;15;131;0;0;970
MG-SAO JOSE DO ALEGRE;0;11;12;14;35;18;199;16;87;0;0;392
MG-SAO JOSE DO DIVINO;1;20;6;23;21;10;186;5;63;0;0;335
MG-SAO JOSE DO GOIABAL;4;50;23;79;119;47;382;13;96;0;1;814
MG-SAO JOSE DO JACURI;3;11;25;20;43;31;234;11;81;0;0;459
MG-SAO JOSE DO MANTIMENTO;0;2;19;16;20;8;69;3;48;0;0;185
MG-SAO LOURENCO;9;253;278;469;940;595;6490;362;1518;37;364;11315
MG-SAO MIGUEL DO ANTA;4;10;23;43;23;13;152;3;18;0;1;290
MG-SAO PEDRO DA UNIAO;2;20;28;40;37;23;318;9;126;1;0;604
MG-SAO PEDRO DOS FERROS;2;65;56;95;116;90;683;8;106;0;0;1221
MG-SAO PEDRO DO SUACUI;1;8;28;24;29;22;227;11;61;0;0;411
MG-SAO ROMAO;8;52;55;88;85;39;328;9;162;0;0;826
MG-SAO ROQUE DE MINAS;8;99;78;129;74;148;770;83;268;2;0;1659
MG-SAO SEBASTIAO DA BELA VISTA;8;182;87;111;159;129;1234;21;217;0;0;2148
MG-SAO SEBASTIAO DA VARGEM ALEGRE;0;7;38;10;42;9;166;8;91;0;0;371
MG-SAO SEBASTIAO DO ANTA;5;8;40;48;44;25;264;25;138;0;0;597
MG-SAO SEBASTIAO DO MARANHAO;1;12;11;26;26;23;255;9;118;0;0;481
MG-SAO SEBASTIAO DO OESTE;21;430;228;356;303;350;2090;153;469;2;0;4402
MG-SAO SEBASTIAO DO PARAISO;63;697;822;1235;2487;1933;9392;567;2939;76;20;20231
MG-SAO SEBASTIAO DO RIO PRETO;3;11;24;28;33;31;121;7;33;0;0;291
MG-SAO SEBASTIAO DO RIO VERDE;1;12;31;13;53;12;234;11;66;0;0;433
MG-SAO TIAGO;2;90;77;158;180;175;1087;63;244;2;0;2078
MG-SAO TOMAS DE AQUINO;8;115;127;109;151;115;612;30;180;0;0;1447
MG-SAO THOME DAS LETRAS;13;166;112;94;113;54;815;21;111;1;0;1500
MG-SAO VICENTE DE MINAS;2;77;295;95;150;107;854;17;205;0;1;1803
MG-SAPUCAI-MIRIM;3;45;48;137;148;134;627;31;157;0;0;1330
MG-SARDOA;1;9;5;7;21;21;264;8;39;0;0;375
MG-SARZEDO;17;334;179;453;905;766;6637;223;1216;3;3;10736
MG-SETUBINHA;2;10;8;25;27;20;214;8;124;0;0;438
MG-SEM-PEIXE;1;13;25;15;24;13;150;9;37;0;0;287
MG-SENADOR AMARAL;6;49;50;70;110;122;576;24;158;0;1;1166
MG-SENADOR CORTES;7;21;40;45;34;26;188;9;68;1;0;439
MG-SENADOR FIRMINO;4;21;19;57;101;62;475;12;183;3;1;938
MG-SENADOR JOSE BENTO;0;15;14;10;27;7;99;9;62;0;0;243
MG-SENADOR MODESTINO GONCALVES;2;15;20;29;49;28;258;2;80;0;0;483
MG-SENHORA DE OLIVEIRA;1;14;12;7;23;38;183;4;20;0;0;302
MG-SENHORA DO PORTO;4;38;44;40;41;23;117;2;52;0;0;361
MG-SENHORA DOS REMEDIOS;0;20;43;60;65;45;516;13;120;0;0;882
MG-SERICITA;4;11;38;22;62;53;411;32;109;0;0;742
MG-SERITINGA;1;8;20;21;25;16;200;4;51;0;0;346
MG-SERRA AZUL DE MINAS;15;51;16;40;38;12;159;5;84;0;0;420
MG-SERRA DA SAUDADE;2;9;37;9;3;20;77;10;39;0;0;206
MG-SERRA DOS AIMORES;10;57;36;70;88;93;514;28;149;1;1;1047
MG-SERRA DO SALITRE;27;246;239;502;336;292;2258;69;507;4;1;4481
MG-SERRANIA;13;49;91;64;64;53;731;23;188;3;0;1279
MG-SERRANOPOLIS DE MINAS;1;35;16;26;18;11;170;24;84;0;0;385
MG-SERRANOS;3;33;35;34;94;16;134;3;59;0;0;411
MG-SERRO;25;101;124;193;193;205;1096;37;370;1;1;2346
MG-SETE LAGOAS;184;1345;1420;3045;4604;4600;39517;3149;9691;380;247;68182
MG-SILVEIRANIA;2;19;39;10;49;12;95;9;55;0;0;290
MG-SILVIANOPOLIS;19;22;59;71;87;156;364;19;145;0;0;942
MG-SIMAO PEREIRA;5;30;50;52;43;45;230;6;95;0;0;556
MG-SIMONESIA;7;16;22;27;91;58;559;60;266;0;0;1106
MG-SOBRALIA;5;44;14;22;66;72;234;16;104;0;0;577
MG-SOLEDADE DE MINAS;3;27;35;41;144;64;269;17;98;1;0;699
MG-TABULEIRO;3;24;41;19;90;34;357;10;85;0;0;663
MG-TAIOBEIRAS;39;256;189;288;464;303;3131;86;761;1;0;5518
MG-TAPARUBA;6;63;31;26;39;20;145;14;80;49;0;473
MG-TAPIRA;15;454;160;154;183;162;1367;60;351;2;0;2908
MG-TAPIRAI;9;79;51;16;15;13;71;8;44;0;0;306
MG-TAQUARACU DE MINAS;6;40;31;34;69;23;235;5;109;6;0;558
MG-TARUMIRIM;11;24;37;44;280;98;661;25;239;0;0;1419
MG-TEIXEIRAS;10;43;73;58;181;65;866;42;210;2;0;1550
MG-TEOFILO OTONI;299;687;463;1298;1589;1852;16588;1277;4648;121;24;28846
MG-TIMOTEO;45;253;215;674;1437;1273;11652;563;3000;42;7;19161
MG-TIRADENTES;6;80;79;165;209;241;1386;102;309;2;0;2579
MG-TIROS;5;91;52;141;59;98;692;42;158;0;0;1338
MG-TOCANTINS;4;149;171;275;344;285;1242;70;426;3;1;2970
MG-TOCOS DO MOJI;0;6;5;22;40;6;132;6;108;1;0;326
MG-TOLEDO;2;39;33;39;87;80;373;18;139;0;0;810
MG-TOMBOS;9;75;42;55;86;102;413;29;200;0;0;1011
MG-TRES CORACOES;57;414;428;826;1351;1228;10675;374;2586;149;35;18123
MG-TRES MARIAS;29;264;166;418;577;543;4446;136;826;5;2;7412
MG-TRES PONTAS;74;745;637;1019;1222;953;8729;428;1819;12;3;15641
MG-TUMIRITINGA;2;25;14;28;59;29;316;6;67;0;0;546
MG-TUPACIGUARA;39;349;346;557;502;580;2704;208;828;0;1;6114
MG-TURMALINA;8;168;117;198;357;292;2061;69;572;1;0;3843
MG-TURVOLANDIA;1;20;50;67;61;73;424;12;108;1;0;817
MG-UBA;50;1018;1235;2950;4016;3062;11885;939;3638;176;78;29047
MG-UBAI;57;29;21;21;46;21;367;6;173;0;0;741
MG-UBAPORANGA;4;16;45;37;113;123;664;17;172;0;0;1191
MG-UBERABA;266;2363;1925;5385;7579;7118;52079;4330;20284;886;608;102823
MG-UBERLANDIA;1011;3194;2796;11353;15529;17216;123693;14998;49556;1952;1213;242511
MG-UMBURATIBA;5;19;22;26;25;20;135;1;49;0;0;302
MG-UNAI;128;579;522;1078;1296;1650;11328;873;2967;66;19;20506
MG-UNIAO DE MINAS;4;80;77;74;48;58;362;12;142;1;0;858
MG-URUANA DE MINAS;1;14;34;17;12;20;284;11;95;0;0;488
MG-URUCANIA;46;567;522;432;287;355;1145;43;266;1;0;3664
MG-URUCUIA;0;16;19;45;94;24;510;27;149;0;0;884
MG-VARGEM ALEGRE;1;20;15;48;46;32;402;9;79;0;0;652
MG-VARGEM BONITA;2;17;31;24;27;22;167;7;67;0;0;364
MG-VARGEM GRANDE DO RIO PARDO;0;29;85;109;64;28;213;3;91;19;0;641
MG-VARGINHA;91;1590;959;1681;2974;2503;26287;1929;8170;634;40;46858
MG-VARJAO DE MINAS;7;102;105;144;155;143;621;46;145;0;0;1468
MG-VARZEA DA PALMA;106;229;397;465;740;568;4007;71;633;3;0;7219
MG-VARZELANDIA;3;26;24;51;51;64;625;27;314;0;0;1185
MG-VAZANTE;11;111;146;240;402;375;3510;125;614;3;1;5538
MG-VERDELANDIA;73;83;53;62;93;92;360;10;131;1;0;958
MG-VEREDINHA;12;52;41;90;79;122;512;14;143;0;0;1065
MG-VERISSIMO;10;64;55;43;53;49;280;16;83;0;0;653
MG-VERMELHO NOVO;1;17;11;12;32;8;171;13;91;0;0;356
MG-VESPASIANO;55;539;488;892;1648;1394;13835;843;4373;50;17;24134
MG-VICOSA;23;397;477;1042;1803;1212;9706;773;5332;779;599;22143
MG-VIEIRAS;1;9;11;42;11;27;220;6;100;0;0;427
MG-MATHIAS LOBATO;3;14;12;58;37;28;264;20;382;2;0;820
MG-VIRGEM DA LAPA;2;41;21;61;107;75;1081;26;174;0;0;1588
MG-VIRGINIA;4;47;74;65;184;53;920;10;109;0;0;1466
MG-VIRGINOPOLIS;7;27;19;64;124;91;517;36;132;3;1;1021
MG-VIRGOLANDIA;1;42;25;33;42;14;171;3;114;1;0;446
MG-VISCONDE DO RIO BRANCO;61;664;1023;1433;1871;1411;3918;304;1628;19;5;12337
MG-VOLTA GRANDE;14;71;40;46;82;40;523;10;162;0;0;988
MG-WENCESLAU BRAZ;1;15;15;31;63;15;112;6;45;0;12;315
ES-AFONSO CLAUDIO;15;112;148;240;391;210;2005;115;861;3;3;4103
ES-AGUIA BRANCA;4;49;50;68;112;74;640;42;332;1;0;1372
ES-AGUA DOCE DO NORTE;1;24;33;77;102;92;535;38;213;0;0;1115
ES-ALEGRE;11;97;133;138;246;204;2125;114;777;61;67;3973
ES-ALFREDO CHAVES;11;75;158;146;325;336;2342;160;610;7;0;4170
ES-ALTO RIO NOVO;0;21;20;31;51;33;369;26;128;0;0;679
ES-ANCHIETA;23;316;292;355;565;311;3155;275;1507;19;12;6830
ES-APIACA;3;25;69;51;66;28;378;14;172;0;0;806
ES-ARACRUZ;140;593;478;1775;2332;2255;18309;747;5489;116;41;32275
ES-ATILIO VIVACQUA;13;87;91;291;413;375;1499;82;265;3;112;3231
ES-BAIXO GUANDU;41;142;125;258;513;407;3008;144;787;0;1;5426
ES-BARRA DE SAO FRANCISCO;14;110;182;427;635;503;4955;295;1273;21;4;8419
ES-BOA ESPERANCA;13;71;75;131;186;135;1031;62;331;36;0;2071
ES-BOM JESUS DO NORTE;4;29;27;60;149;82;886;56;158;130;0;1581
ES-BREJETUBA;18;40;44;37;150;52;728;48;269;0;0;1386
ES-CACHOEIRO DE ITAPEMIRIM;170;1191;1331;3161;4593;4186;24351;2188;8273;207;64;49715
ES-CARIACICA;141;720;676;2528;4479;4929;38030;2216;11058;304;78;65159
ES-CASTELO;26;211;330;678;788;756;4070;340;1643;84;27;8953
ES-COLATINA;93;911;866;2418;3041;3263;17629;1212;5930;295;135;35793
ES-CONCEICAO DA BARRA;70;170;93;308;175;297;2404;47;618;0;19;4201
ES-CONCEICAO DO CASTELO;3;103;117;145;176;159;600;45;210;0;0;1558
ES-DIVINO DE SAO LOURENCO;2;17;19;18;66;17;266;8;125;0;0;538
ES-DOMINGOS MARTINS;29;255;278;588;740;533;3109;333;1002;23;2;6892
ES-DORES DO RIO PRETO;5;15;15;51;79;52;416;15;115;0;0;763
ES-ECOPORANGA;26;85;64;94;101;146;1625;78;548;0;6;2773
ES-FUNDAO;16;48;44;206;316;246;1765;77;496;9;0;3223
ES-GOVERNADOR LINDENBERG;2;17;31;61;138;77;520;51;211;6;16;1130
ES-GUACUI;20;45;69;126;337;183;2383;94;317;3;0;3577
ES-GUARAPARI;99;365;501;1103;2191;1765;14605;801;2766;489;281;24966
ES-IBATIBA;12;95;76;234;173;207;1619;102;605;24;15;3162
ES-IBIRACU;12;48;78;167;418;242;1806;75;526;7;3;3382
ES-IBITIRAMA;4;37;32;47;64;26;383;36;249;1;5;884
ES-ICONHA;9;122;147;501;561;332;2030;140;482;1;0;4325
ES-IRUPI;6;46;48;75;102;68;613;32;300;1;0;1291
ES-ITAGUACU;2;27;36;56;127;85;1058;38;217;42;0;1688
ES-ITAPEMIRIM;34;272;314;367;1082;397;3111;181;1731;14;2;7505
ES-ITARANA;5;34;231;109;171;129;881;58;173;0;0;1791
ES-IUNA;15;146;113;296;448;256;1331;123;528;1;1;3258
ES-JAGUARE;41;167;139;398;539;328;2101;105;713;12;0;4543
ES-JERONIMO MONTEIRO;2;11;38;54;109;50;575;26;237;1;0;1103
ES-JOAO NEIVA;12;69;64;128;401;288;2329;64;604;8;2;3969
ES-LARANJA DA TERRA;2;56;53;76;54;40;561;22;266;0;1;1131
ES-LINHARES;334;1780;1165;3824;4018;4655;25907;2161;8999;124;41;53008
ES-MANTENOPOLIS;2;34;22;73;74;46;468;28;154;1;93;995
ES-MARATAIZES;16;82;99;288;492;334;3942;181;1414;40;31;6919
ES-MARECHAL FLORIANO;23;232;222;454;536;383;1971;144;351;91;6;4413
ES-MARILANDIA;22;170;107;178;264;230;1063;67;364;5;0;2470
ES-MIMOSO DO SUL;17;148;138;186;328;198;1610;70;412;144;3;3254
ES-MONTANHA;29;257;161;287;217;299;1747;79;805;19;4;3904
ES-MUCURICI;16;80;41;74;61;49;371;13;154;1;0;860
ES-MUNIZ FREIRE;5;41;55;106;196;98;1053;49;499;4;3;2109
ES-MUQUI;3;45;45;79;99;90;745;64;183;114;0;1467
ES-NOVA VENECIA;46;335;400;507;548;609;5793;272;1572;69;25;10176
ES-PANCAS;2;74;30;108;87;94;1028;46;314;0;0;1783
ES-PEDRO CANARIO;25;242;580;145;435;332;2308;35;205;1;46;4354
ES-PINHEIROS;59;199;490;440;314;344;1981;190;796;5;1;4819
ES-PIUMA;8;61;68;171;298;218;1880;125;751;29;22;3631
