,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,4105706,Clevelândia,2,,,,,,,12,3,,0,,5,8,
Valor,2908002,Coaraci,2,,,,,,,6,5,,0,,5,8,
Valor,1301209,Coari,2,,,,,,,2,4,,0,,5,8,
Valor,2202703,Cocal,2,,,,,,,9,4,,0,,5,9,
Valor,2202711,Cocal de Telha,2,,,,,,,6,1,,0,,4,10,
Valor,2202729,Cocal dos Alves,2,,,,,,,6,4,,0,,5,7,
Valor,4204251,Cocal do Sul,3,,,,,,,13,5,,1,,5,9,
Valor,5103106,Cocalinho,1,,,,,,,8,1,,0,,0,3,
Valor,5205513,Cocalzinho de Goiás,3,,,,,,,13,4,,1,,5,9,
Valor,2908101,Cocos,2,,,,,,,9,4,,0,,5,8,
Valor,1301308,Codajás,2,,,,,,,0,0,,0,,4,8,
Valor,2103307,Codó,2,,,,,,,12,2,,0,,5,10,
Valor,2103406,Coelho Neto,2,,,,,,,8,4,,0,,5,8,
Valor,3116704,Coimbra,2,,,,,,,10,4,,0,,5,8,
Valor,2702009,Coité do Nóia,2,,,,,,,4,4,,0,,4,8,
Valor,2202737,Coivaras,2,,,,,,,6,2,,0,,4,8,
Valor,1502608,Colares,2,,,,,,,7,6,,1,,4,9,
Valor,3201506,Colatina,2,,,,,,,14,3,,0,,5,9,
Valor,5103205,Colíder,2,,,,,,,13,5,,0,,5,9,
Valor,3512001,Colina,2,,,,,,,7,7,,0,,5,9,
Valor,2103505,Colinas,3,,,,,,,16,5,,1,,5,9,
Valor,4305587,Colinas,2,,,,,,,6,4,,0,,5,8,
Valor,5205521,Colinas do Sul,2,,,,,,,10,3,,1,,5,8,
Valor,1705508,Colinas do Tocantins,3,,,,,,,14,8,,1,,5,7,
Valor,1716703,Colméia,2,,,,,,,9,4,,0,,5,9,
Valor,5103254,Colniza,3,,,,,,,11,4,,1,,5,9,
Valor,3512100,Colômbia,2,,,,,,,8,3,,0,,5,9,
Valor,4105805,Colombo,5,7,4,8,5,6,3,12,7,4,0,1,5,8,8
Valor,2202752,Colônia do Gurguéia,2,,,,,,,7,4,,0,,4,8,
Valor,2202778,Colônia do Piauí,2,,,,,,,6,4,,0,,2,6,
Valor,2702108,Colônia Leopoldina,2,,,,,,,9,3,,1,,4,8,
Valor,4105904,Colorado,2,,,,,,,8,2,,0,,5,8,
Valor,4305603,Colorado,2,,,,,,,7,5,,0,,5,9,
Valor,1100064,Colorado do Oeste,2,,,,,,,8,4,,0,,5,9,
Valor,3116803,Coluna,2,,,,,,,6,4,,0,,5,9,
Valor,1705557,Combinado,2,,,,,,,7,2,,0,,5,9,
Valor,3116902,Comendador Gomes,2,,,,,,,8,3,,0,,5,8,
Valor,3300951,Comendador Levy Gasparian,2,,,,,,,5,2,,0,,5,9,
Valor,3117009,Comercinho,2,,,,,,,5,0,,0,,4,9,
Valor,5103304,Comodoro,2,,,,,,,9,4,,0,,4,10,
Valor,2504405,Conceição,2,,,,,,,8,3,,0,,5,9,
Valor,3117108,Conceição da Aparecida,2,,,,,,,7,5,,0,,5,9,
Valor,3201605,Conceição da Barra,2,,,,,,,13,4,,0,,5,9,
Valor,3115201,Conceição da Barra de Minas,2,,,,,,,5,3,,0,,5,9,
Valor,2908200,Conceição da Feira,2,,,,,,,6,5,,1,,4,8,
Valor,3117306,Conceição das Alagoas,2,,,,,,,10,3,,0,,5,8,
Valor,3117207,Conceição das Pedras,2,,,,,,,1,4,,0,,5,9,
Valor,3117405,Conceição de Ipanema,2,,,,,,,7,5,,0,,4,9,
Valor,3301405,Conceição de Macabu,2,,,,,,,13,6,,0,,5,8,
Valor,2908309,Conceição do Almeida,2,,,,,,,5,3,,0,,5,8,
Valor,1502707,Conceição do Araguaia,3,,,,,,,15,5,,1,,5,8,
Valor,2202802,Conceição do Canindé,2,,,,,,,7,1,,0,,5,8,
Valor,3201704,Conceição do Castelo,2,,,,,,,10,3,,0,,5,9,
Valor,2908408,Conceição do Coité,2,,,,,,,13,6,,0,,5,9,
Valor,2908507,Conceição do Jacuípe,2,,,,,,,14,4,,0,,5,8,
Valor,2103554,Conceição do Lago-Açu,2,,,,,,,3,1,,0,,5,8,
Valor,3117504,Conceição do Mato Dentro,2,,,,,,,6,7,,0,,5,8,
Valor,3117603,Conceição do Pará,2,,,,,,,8,3,,0,,4,8,
Valor,3117702,Conceição do Rio Verde,2,,,,,,,6,6,,0,,4,9,
Valor,3117801,Conceição dos Ouros,2,,,,,,,6,5,,0,,4,9,
Valor,1705607,Conceição do Tocantins,2,,,,,,,4,3,,0,,5,10,
Valor,3512209,Conchal,2,,,,,,,11,5,,0,,5,8,
Valor,3512308,Conchas,2,,,,,,,10,2,,0,,4,9,
Valor,4204301,Concórdia,2,,,,,,,14,7,,0,,5,10,
Valor,1502756,Concórdia do Pará,2,,,,,,,14,4,,0,,5,9,
Valor,2504504,Condado,2,,,,,,,5,5,,0,,5,9,
Valor,2604601,Condado,2,,,,,,,7,5,,0,,5,9,
Valor,2908606,Conde,2,,,,,,,5,5,,0,,5,9,
Valor,2504603,Conde,2,,,,,,,8,6,,0,,5,9,
Valor,2908705,Condeúba,2,,,,,,,4,3,,0,,5,7,
Valor,4305702,Condor,2,,,,,,,8,4,,0,,5,8,
Valor,3117836,Cônego Marinho,2,,,,,,,3,4,,0,,4,8,
Valor,3117876,Confins,2,,,,,,,9,8,,0,,4,6,
Valor,5103353,Confresa,2,,,,,,,12,6,,0,,5,10,
Valor,2504702,Congo,2,,,,,,,12,4,,0,,5,10,
Valor,3117900,Congonhal,2,,,,,,,9,2,,0,,4,7,
Valor,3118007,Congonhas,2,,,,,,,6,5,,0,,5,9,
Valor,3118106,Congonhas do Norte,2,,,,,,,2,1,,0,,4,6,
Valor,4106001,Congonhinhas,2,,,,,,,4,3,,0,,5,8,
Valor,3118205,Conquista,2,,,,,,,10,4,,0,,5,6,
Valor,5103361,Conquista D'Oeste,3,,,,,,,17,4,,1,,5,9,
Valor,3118304,Conselheiro Lafaiete,3,,,,,,,10,5,,1,,4,9,
Valor,4106100,Conselheiro Mairinck,2,,,,,,,6,3,,0,,5,9,
Valor,3118403,Conselheiro Pena,2,,,,,,,6,5,,0,,4,9,
Valor,3118502,Consolação,2,,,,,,,3,4,,0,,4,8,
Valor,4305801,Constantina,2,,,,,,,10,5,,1,,4,7,
Valor,3118601,Contagem,2,,,,,,,9,6,,0,,5,9,
Valor,4106209,Contenda,2,,,,,,,12,5,,0,,4,5,
Valor,2908804,Contendas do Sincorá,2,,,,,,,0,4,,0,,5,9,
Valor,3118700,Coqueiral,2,,,,,,,6,5,,0,,4,9,
Valor,4305835,Coqueiro Baixo,2,,,,,,,6,3,,0,,5,8,
Valor,4305850,Coqueiros do Sul,2,,,,,,,7,6,,0,,5,9,
Valor,2702207,Coqueiro Seco,2,,,,,,,5,5,,0,,4,9,
Valor,3118809,Coração de Jesus,2,,,,,,,5,5,,0,,5,8,
Valor,2908903,Coração de Maria,3,,,,,,,14,7,,1,,5,9,
Valor,4106308,Corbélia,2,,,,,,,9,4,,0,,5,9,
Valor,3301504,Cordeiro,2,,,,,,,11,4,,0,,4,10,
Valor,3512407,Cordeirópolis,2,,,,,,,9,5,,0,,5,9,
Valor,2909000,Cordeiros,2,,,,,,,9,6,,0,,5,8,
Valor,4204350,Cordilheira Alta,3,,,,,,,15,4,,1,,5,9,
Valor,3118908,Cordisburgo,2,,,,,,,5,3,,0,,5,9,
Valor,3119005,Cordislândia,2,,,,,,,9,6,,0,,4,8,
Valor,2304004,Coreaú,2,,,,,,,10,3,,1,,5,8,
Valor,2504801,Coremas,2,,,,,,,5,5,,0,,5,9,
Valor,5003108,Corguinho,2,,,,,,,9,3,,0,,4,8,
Valor,2909109,Coribe,2,,,,,,,4,3,,0,,5,9,
Valor,3119104,Corinto,2,,,,,,,9,4,,1,,4,8,
Valor,4106407,Cornélio Procópio,2,,,,,,,7,3,,0,,4,8,
Valor,3119203,Coroaci,2,,,,,,,6,6,,0,,4,8,
Valor,3512506,Coroados,2,,,,,,,6,3,,0,,5,8,
Valor,2103604,Coroatá,2,,,,,,,7,4,,0,,5,8,
Valor,3119302,Coromandel,2,,,,,,,10,6,,0,,5,9,
Valor,4305871,Coronel Barros,2,,,,,,,9,3,,0,,5,9,
Valor,4305900,Coronel Bicaco,2,,,,,,,12,4,,0,,5,9,
Valor,4106456,Coronel Domingos Soares,2,,,,,,,12,4,,0,,4,8,
Valor,2402808,Coronel Ezequiel,2,,,,,,,11,5,,1,,4,7,
Valor,3119401,Coronel Fabriciano,2,,,,,,,14,4,,0,,5,8,
Valor,4204400,Coronel Freitas,2,,,,,,,8,5,,0,,5,9,
Valor,2402907,Coronel João Pessoa,2,,,,,,,8,6,,0,,0,3,
Valor,2909208,Coronel João Sá,2,,,,,,,13,3,,0,,4,8,
Valor,2202851,Coronel José Dias,2,,,,,,,2,3,,0,,4,9,
Valor,3512605,Coronel Macedo,2,,,,,,,4,4,,0,,5,9,
Valor,4204459,Coronel Martins,3,,,,,,,13,6,,1,,5,8,
Valor,3119500,Coronel Murta,2,,,,,,,4,5,,0,,5,6,
Valor,3119609,Coronel Pacheco,2,,,,,,,5,3,,1,,5,8,
Valor,4305934,Coronel Pilar,2,,,,,,,7,3,,0,,5,9,
Valor,5003157,Coronel Sapucaia,2,,,,,,,9,4,,0,,5,8,
Valor,4106506,Coronel Vivida,3,,,,,,,15,8,,1,,5,9,
Valor,3119708,Coronel Xavier Chaves,3,1,0,0,1,3,0,9,5,0,0,1,5,9,4
Valor,3119807,Córrego Danta,2,,,,,,,6,3,,0,,5,9,
Valor,3119906,Córrego do Bom Jesus,2,,,,,,,4,4,,0,,4,8,
Valor,5205703,Córrego do Ouro,3,,,,,,,11,3,,1,,5,9,
Valor,3119955,Córrego Fundo,2,,,,,,,10,4,,0,,4,9,
Valor,3120003,Córrego Novo,2,,,,,,,12,4,,0,,4,8,
Valor,4204558,Correia Pinto,2,,,,,,,13,5,,0,,5,9,
Valor,2202901,Corrente,2,,,,,,,9,4,,0,,4,8,
Valor,2604700,Correntes,2,,,,,,,7,5,,0,,4,8,
Valor,2909307,Correntina,2,,,,,,,12,7,,0,,5,9,
Valor,2604809,Cortês,2,,,,,,,8,4,,1,,4,9,
