,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,5003207,Corumbá,2,,,,,,,14,6,,0,,4,8,
Valor,5205802,Corumbá de Goiás,2,,,,,,,5,5,,0,,5,8,
Valor,5205901,Corumbaíba,2,,,,,,,10,4,,0,,5,7,
Valor,3512704,Corumbataí,2,,,,,,,6,4,,0,,5,8,
Valor,4106555,Corumbataí do Sul,2,,,,,,,7,4,,0,,5,8,
Valor,1100072,Corumbiara,2,,,,,,,5,1,,0,,5,9,
Valor,4204509,Corupá,2,,,,,,,11,4,,0,,5,9,
Valor,2702306,Coruripe,2,,,,,,,8,2,,1,,5,9,
Valor,3512803,Cosmópolis,2,,,,,,,2,4,,0,,5,9,
Valor,3512902,Cosmorama,2,,,,,,,12,5,,0,,4,9,
Valor,1100080,Costa Marques,2,,,,,,,8,3,,0,,5,9,
Valor,5003256,Costa Rica,2,,,,,,,11,6,,0,,5,9,
Valor,2909406,Cotegipe,2,,,,,,,0,2,,0,,5,8,
Valor,3513009,Cotia,2,,,,,,,5,6,,0,,5,9,
Valor,4305959,Cotiporã,2,,,,,,,9,4,,0,,5,9,
Valor,5103379,Cotriguaçu,2,,,,,,,8,2,,1,,5,9,
Valor,3120102,Couto de Magalhães de Minas,2,,,,,,,8,6,,0,,5,6,
Valor,1706001,Couto Magalhães,2,,,,,,,7,3,,0,,5,8,
Valor,4305975,Coxilha,2,,,,,,,10,3,,1,,5,8,
Valor,5003306,Coxim,2,,,,,,,7,7,,0,,5,8,
Valor,2504850,Coxixola,2,,,,,,,7,3,,0,,4,9,
Valor,2702355,Craíbas,2,,,,,,,11,4,,0,,4,8,
Valor,2304103,Crateús,3,,,,,,,10,6,,1,,5,9,
Valor,2304202,Crato,2,,,,,,,12,6,,0,,5,9,
Valor,3513108,Cravinhos,2,,,,,,,8,4,,0,,5,9,
Valor,2909505,Cravolândia,2,,,,,,,5,5,,0,,5,9,
Valor,4204608,Criciúma,3,,,,,,,14,8,,0,,5,10,
Valor,3120151,Crisólita,2,,,,,,,7,4,,0,,4,8,
Valor,2909604,Crisópolis,2,,,,,,,0,6,,0,,5,8,
Valor,4306007,Crissiumal,2,,,,,,,7,3,,0,,5,9,
Valor,3120201,Cristais,2,,,,,,,10,4,,0,,4,10,
Valor,3513207,Cristais Paulista,3,,,,,,,11,4,,1,,5,9,
Valor,4306056,Cristal,2,,,,,,,4,6,,0,,5,9,
Valor,1706100,Cristalândia,2,,,,,,,5,5,,0,,5,8,
Valor,2203008,Cristalândia do Piauí,2,,,,,,,5,1,,0,,4,8,
Valor,4306072,Cristal do Sul,2,,,,,,,4,3,,0,,5,8,
Valor,3120300,Cristália,2,,,,,,,7,2,,0,,5,8,
Valor,5206206,Cristalina,2,,,,,,,12,5,,0,,5,8,
Valor,3120409,Cristiano Otoni,2,,,,,,,8,6,,0,,5,9,
Valor,5206305,Cristianópolis,2,,,,,,,9,4,,0,,5,8,
Valor,3120508,Cristina,2,,,,,,,7,5,,0,,5,8,
Valor,2801702,Cristinápolis,3,,,,,,,14,5,,1,,5,8,
Valor,2203107,Cristino Castro,2,,,,,,,10,5,,0,,4,9,
Valor,2909703,Cristópolis,2,,,,,,,8,4,,0,,5,8,
Valor,5206404,Crixás,3,,,,,,,13,6,,1,,5,8,
Valor,1706258,Crixás do Tocantins,2,,,,,,,10,2,,1,,4,8,
Valor,2304236,Croatá,2,,,,,,,5,3,,0,,4,8,
Valor,5206503,Cromínia,2,,,,,,,10,3,,0,,5,8,
Valor,3120607,Crucilândia,2,,,,,,,6,4,,1,,4,9,
Valor,2304251,Cruz,2,,,,,,,13,5,,0,,5,8,
Valor,3513306,Cruzália,2,,,,,,,13,6,,0,,5,9,
Valor,4306106,Cruz Alta,3,,,,,,,13,6,,1,,5,9,
Valor,4306130,Cruzaltense,2,,,,,,,12,5,,0,,5,9,
Valor,2909802,Cruz das Almas,2,,,,,,,13,4,,0,,5,10,
Valor,2504900,Cruz do Espírito Santo,2,,,,,,,7,2,,1,,4,10,
Valor,3513405,Cruzeiro,2,,,,,,,10,5,,0,,5,9,
Valor,3120706,Cruzeiro da Fortaleza,2,,,,,,,8,5,,0,,4,7,
Valor,4106571,Cruzeiro do Iguaçu,2,,,,,,,9,6,,0,,5,8,
Valor,4106605,Cruzeiro do Oeste,2,,,,,,,9,4,,0,,5,8,
Valor,1200203,Cruzeiro do Sul,2,,,,,,,8,4,,0,,4,8,
Valor,4106704,Cruzeiro do Sul,2,,,,,,,4,2,,0,,5,8,
Valor,4306205,Cruzeiro do Sul,2,,,,,,,6,4,,0,,5,9,
Valor,2403004,Cruzeta,2,,,,,,,6,4,,0,,5,8,
Valor,3120805,Cruzília,2,,,,,,,8,5,,0,,4,8,
Valor,4106803,Cruz Machado,2,,,,,,,10,5,,0,,5,8,
